date,country,avg_temp,min_temp,max_temp,dewpoint,humidity,precip_mm,rain_mm,snow_mm,snow_depth_cm,pressure_msl,cloud_cover,wind_speed_avg,wind_speed_max,wind_gust_max,wind_dir_mode,shortwave_rad_MJ,vpd,hdd18,cdd18,delta_temp,delta_humidity
2018-01-21,USA,7.6875,2,13.8,3.341666667,74.91666667,0,0,0,0,1018.158333,69.45833333,2.274166667,3.57,6.7,217.7387935,1994,2.634124243,10.3125,0,11.8,10.91666667
2018-01-22,USA,11.4,7.1,17,7.204166667,76.16666667,0.4,0.4,0,0,1015.779167,93.33333333,3.053333333,4.06,8.5,189.6485446,2003,3.212799998,6.6,0,9.9,1.25
2018-01-23,USA,12.55833333,7.8,16.7,7.25,72.54166667,9.6,9.6,0,0,1004.216667,54.95833333,5.146666667,7.31,17.5,235.7946702,1871,3.995307115,5.441666667,0,8.9,-3.625
2018-01-24,USA,5.129166667,1.2,7.2,-3.541666667,53.70833333,0,0,0,0,1014.783333,58.04166667,4.625833333,5.64,12,301.582104,1809,4.074626804,12.87083333,0,6,-18.83333333
2018-01-25,USA,0.708333333,-3.1,5.7,-7.675,55.08333333,0,0,0,0,1027.404167,20.29166667,3.475833333,5.82,12.8,312.7778068,3186,2.888204799,17.29166667,0,8.8,1.375
2018-01-26,USA,0.808333333,-4.5,8.8,-5.6125,65.33333333,0,0,0,0,1034.079167,22.70833333,2.176666667,3.31,7.8,122.9667912,3303,2.245293477,17.19166667,0,13.3,10.25
2018-01-27,USA,8.416666667,2.4,14.6,1.0375,60.25,0,0,0,0,1027.533333,50.125,4.996666667,6.04,12.4,202.2184715,3233,4.386789982,9.583333333,0,12.2,-5.083333333
2018-01-28,USA,10.44583333,9.3,11.7,8.833333333,90.25,8.4,8.4,0,0,1021.129167,100,2.594166667,5.87,11.5,324.7517814,500,1.233505682,7.554166667,0,2.4,30
2018-01-29,USA,6.091666667,3.5,9.1,2.9125,80.625,2.7,2.7,0,0,1016.970833,95.79166667,2.907083333,4.36,8.7,25.87943214,491,1.82330465,11.90833333,0,5.6,-9.625
2018-01-30,USA,-0.345833333,-5.2,2.7,-7.7,60.79166667,0.8,0.4,0.28,0,1016.758333,51.29166667,5.596666667,9.91,20.2,310.90243,2688,2.335236191,18.34583333,0,7.9,-19.83333333
2018-01-31,USA,-2.4125,-6.9,2.1,-12.82916667,45.33333333,0,0,0,0,1021.391667,54.45833333,3.487916667,6.05,11.9,243.8749333,3017,2.796323002,20.4125,0,9,-15.45833333
2018-02-01,USA,6.6625,2.5,11.4,-2.395833333,52.75,0.5,0.5,0,0,1011.5125,96.79166667,4.665,5.92,11.9,211.6260784,1781,4.625189544,11.3375,0,8.9,7.416666667
2018-02-02,USA,-1.533333333,-6.9,5.4,-9.775,57.20833333,5.7,5.6,0.07,0,1019.033333,54.66666667,5.85375,8.27,17.3,308.9639389,3240,2.336035632,19.53333333,0,12.3,4.458333333
2018-02-03,USA,-3.5375,-8,2.4,-16.32916667,38.25,0,0,0,0,1027.995833,14.08333333,2.978333333,4.55,10,223.017913,3706,2.904259141,21.5375,0,10.4,-18.95833333
2018-02-04,USA,0.566666667,-0.7,2,-4.729166667,70.41666667,21.3,20.2,0.77,0,1015.2375,97.20833333,2.982083333,5.3,15.6,185.3978505,366,1.882842188,17.43333333,0,2.7,32.16666667
2018-02-05,USA,-0.566666667,-4.3,1.9,-6.504166667,66.91666667,0,0,0,0,1016.054167,27.79166667,4.386666667,7.3,14.8,315.3784487,3894,1.938898005,18.56666667,0,6.2,-3.5
2018-02-06,USA,0.4125,-3.6,6.3,-5.4,65.875,0,0,0,0,1024.816667,78.16666667,2.035416667,2.92,7,263.0851814,2357,2.147765296,17.5875,0,9.9,-1.041666667
2018-02-07,USA,1.5375,-2.4,6.3,-0.333333333,87.5,10.1,9.8,0.21,0.00791666667,1019.979167,96.70833333,3.2,6.58,13,92.64824903,368,0.853279843,16.4625,0,8.7,21.625
2018-02-08,USA,-1.679166667,-5.1,2.1,-9.270833333,57.16666667,0,0,0,0.01,1026.304167,36.08333333,3.900416667,6.58,13.1,329.5259776,3918,2.313288436,19.67916667,0,7.2,-30.33333333
2018-02-09,USA,1.158333333,-4.7,8.4,-4.170833333,68.79166667,0,0,0,0.00666666667,1028.591667,78.25,2.583333333,4.43,9.5,123.7179166,2837,2.07301687,16.84166667,0,13.1,11.625
2018-02-10,USA,6.029166667,1.9,9.7,4.979166667,92.91666667,13.3,13.3,0,0,1019.554167,98.75,2.707916667,3.57,10,186.6584002,701,0.663707848,11.97083333,0,7.8,24.125
2018-02-11,USA,13.9375,9.5,18,13.34583333,96.25,33.4,33.4,0,0,1010.945833,100,4.104166667,7.04,16.9,196.0100637,461,0.597049738,4.0625,0,8.5,3.333333333
2018-02-12,USA,7.2875,2.2,17.2,2.291666667,72.08333333,2.5,2.5,0,0,1024.454167,80.875,4.338333333,7.13,14.4,328.3898856,812,2.852551404,10.7125,0,15,-24.16666667
2018-02-13,USA,1.120833333,-3.4,4.9,-6.9625,55.625,0,0,0,0,1037.55,50.625,2.500416667,3.71,7.2,68.17399148,2806,2.939657125,16.87916667,0,8.3,-16.45833333
2018-02-14,USA,5.3625,-1,13.3,1.979166667,79.66666667,0,0,0,0,1024.3125,83.04166667,2.459583333,4.16,7.9,193.7776302,3287,1.819084751,12.6375,0,14.3,24.04166667
2018-02-15,USA,14.31666667,7.5,20.6,11.79166667,85.54166667,6.2,6.2,0,0,1009.433333,79.25,4.048333333,6.74,12.9,205.8546621,2138,2.359243633,3.683333333,0,13.1,5.875
2018-02-16,USA,13.72916667,4.8,19,10.075,79.29166667,4.8,4.8,0,0,1006.408333,72.75,5.297083333,7.38,14.5,268.7681882,470,3.252708214,4.270833333,0,14.2,-6.25
2018-02-17,USA,2.129166667,-1.8,6.2,-3.05,70.41666667,7.6,5.5,1.47,0.0075,1021.7125,81.20833333,2.990416667,5.63,12.2,81.96418777,2385,2.106898379,15.87083333,0,8,-8.875
2018-02-18,USA,4.7125,0.6,10.4,0.0666666667,75.33333333,0,0,0,0.035,1022.591667,46.41666667,1.993333333,3.47,8,273.307534,3642,2.108898498,13.2875,0,9.8,4.916666667
2018-02-19,USA,5.5625,1.6,11.2,3.529166667,86.95833333,1.3,1.3,0,0.0216666667,1027.083333,86.875,3.1425,4.54,9.7,175.3275026,1146,1.183089252,12.4375,0,9.6,11.625
2018-02-20,USA,15.64583333,9.4,22.8,12.325,82.16666667,0,0,0,0.00375,1023.983333,64.54166667,4.942916667,6.11,12.8,201.7546208,3815,3.169980574,2.354166667,0,13.4,-4.791666667
2018-02-21,USA,19.55,15,26.2,15.62083333,79.625,0.5,0.5,0,0,1023.495833,35.20833333,4.82625,7.2,14.7,214.2834813,3570,4.633139187,0,1.55,11.2,-2.541666667
2018-02-22,USA,10.8,5.6,17.7,7.2125,79.375,2.2,2.2,0,0,1028.779167,95.83333333,3.70625,5.05,10.2,34.44197642,685,2.671688428,7.2,0,12.1,-0.25
2018-02-23,USA,6.125,4.3,9,4.208333333,87.58333333,3.9,3.9,0,0,1028.870833,99.79166667,2.620416667,3.45,10.3,120.0470662,802,1.17118066,11.875,0,4.7,8.208333333
2018-02-24,USA,8.808333333,6,11.3,8.245833333,96.33333333,3.7,3.7,0,0,1018.2875,95.25,2.140833333,3.72,12.8,45.18799221,992,0.415535858,9.191666667,0,5.3,8.75
2018-02-25,USA,10.16666667,7.3,15.9,9.491666667,95.66666667,8.1,8.1,0,0,1012.666667,100,2.345,3.98,14,66.0408669,1030,0.53808929,7.833333333,0,8.6,-0.666666667
2018-02-26,USA,8.6125,3.7,10.2,1.908333333,64.70833333,0,0,0,0,1019.0125,81.95833333,2.721666667,3.82,8.6,312.8931399,1043,3.946845729,9.3875,0,6.5,-30.95833333
2018-02-27,USA,6.8625,0.6,13.3,-2.8125,51.91666667,0,0,0,0,1025.416667,7.958333333,2.29625,3.68,7,257.190693,4844,4.771975178,11.1375,0,12.7,-12.79166667
2018-02-28,USA,9.3,4.9,15,1.920833333,60.75,0,0,0,0,1015.466667,97.91666667,3.74375,4.85,10.5,198.2984036,3088,4.59828013,8.7,0,10.1,8.833333333
2018-03-01,USA,9.795833333,6.5,13.1,7.691666667,86.95833333,7.6,7.6,0,0,1004.879167,100,1.856666667,3.61,7.9,148.1833803,1214,1.579689128,8.204166667,0,6.6,26.20833333
2018-03-02,USA,5.920833333,3.7,10.9,-3.3,52.91666667,1.2,0.4,0.56,0,1001.875,78.45833333,10.86,13.55,27.9,305.1214624,3681,4.378733831,12.07916667,0,7.2,-34.04166667
2018-03-03,USA,4.6875,0.9,10,-4.691666667,50.95833333,0,0,0,0,1016.033333,36.5,7.558333333,9.6,20.5,328.3710811,4639,4.185531945,13.3125,0,9.1,-1.958333333
2018-03-04,USA,4.104166667,-0.2,9.6,-6.0375,49.58333333,0,0,0,0,1020.05,2.625,5.158333333,6.4,13.4,331.5468345,5151,4.1303501,13.89583333,0,9.8,-1.375
2018-03-05,USA,2.079166667,-2.8,8.1,-7.945833333,48.625,0,0,0,0,1017.7375,0,4.02375,5.15,11.4,337.6438655,5226,3.645823503,15.92083333,0,10.9,-0.958333333
2018-03-06,USA,2.220833333,-3.8,8.2,-2.7875,71.54166667,4.4,2,1.68,0,1013.041667,82.125,2.487083333,3.91,9,109.7218499,2553,2.040097078,15.77916667,0,12,22.91666667
2018-03-07,USA,3.841666667,1.2,8.4,0.720833333,82.04166667,4.2,2,1.54,0.015,1004.204167,85.375,3.67,6.18,12.9,357.046827,1685,1.444285316,14.15833333,0,7.2,10.5
2018-03-08,USA,2.166666667,-1.5,5.2,-7.120833333,51.5,0,0,0,0.01,1007.804167,45.75,4.680833333,6.05,13.1,288.895949,3479,3.463397207,15.83333333,0,6.7,-30.54166667
2018-03-09,USA,1.770833333,-2.5,6.5,-8.55,46.91666667,0,0,0,0.01,1009.7875,39.79166667,5.177083333,7.16,15.6,283.461074,4137,3.684790507,16.22916667,0,9,-4.583333333
2018-03-10,USA,2.820833333,-3.5,10,-5.6125,56.33333333,0,0,0,0.00541666667,1013.8875,40.70833333,2.535416667,3.7,8.6,282.5267104,4935,3.26707326,15.17916667,0,13.5,9.416666667
2018-03-11,USA,2.470833333,-3.2,9.1,-4.9625,59.91666667,0,0,0,0,1016.504167,43.95833333,1.805833333,2.62,6.1,349.7056477,5373,2.925182302,15.52916667,0,12.3,3.583333333
2018-03-12,USA,1.866666667,-0.9,5.4,-3.320833333,69.08333333,1.9,0.8,0.77,0.000833333333,1010.070833,84.16666667,3.304583333,4.84,9.3,23.79818828,1581,2.160878513,16.13333333,0,6.3,9.166666667
2018-03-13,USA,2.575,-1.1,7.7,-6.533333333,53.70833333,0.1,0,0.07,0.01,1007.166667,50.95833333,5.852083333,8.06,16.9,305.908687,4960,3.403418698,15.425,0,8.8,-15.375
2018-03-14,USA,1.4125,-2.8,5.7,-8.295833333,50.41666667,0,0,0,0.00625,1006.654167,41.70833333,5.79125,8.72,17.2,287.7972536,5198,3.354401306,16.5875,0,8.5,-3.291666667
2018-03-15,USA,3.3125,-3,10,-6.3,50.70833333,1.3,0.9,0.28,0,1003.670833,33.45833333,4.489166667,7.16,15.1,272.5849788,3379,3.818812243,14.6875,0,13,0.291666667
2018-03-16,USA,2,-1.9,6.6,-8.075,49.16666667,0,0,0,0,1010.008333,29.375,4.918333333,7.86,16.4,306.7323376,5349,3.587010624,16,0,8.5,-1.541666667
2018-03-17,USA,1.7125,-3.2,5.2,-5.179166667,61.625,0.2,0.2,0,0,1011.208333,71.75,2.418333333,3.12,6,280.8462545,1735,2.652687249,16.2875,0,8.4,12.45833333
2018-03-18,USA,5.354166667,-2.6,12.5,-4.695833333,51.125,0,0,0,0,1010.9,5.208333333,2.8175,4.08,8.3,312.2363649,5837,4.369977875,12.64583333,0,15.1,-10.5
2018-03-19,USA,5.775,-1.6,12.9,-0.883333333,65,0,0,0,0,1009.383333,60.875,2.14625,3.54,7.8,158.7478296,3872,3.222249244,12.225,0,14.5,13.875
2018-03-20,USA,1.7125,-0.7,5.2,-0.454166667,85.91666667,26.9,16.2,7.49,0.0104166667,1006.058333,100,4.512916667,6.37,13,37.29268103,524,0.973516059,16.2875,0,5.9,20.91666667
2018-03-21,USA,0.358333333,-0.7,1.5,-1.908333333,84.91666667,15.4,0.1,10.71,0.0795833333,1002.754167,99.75,4.101666667,5.14,10.4,355.8057386,1232,0.945594655,17.64166667,0,2.2,-1
2018-03-22,USA,2.641666667,-2.2,6.6,-4.433333333,61.04166667,0.3,0,0.21,0.104583333,1011.9375,80.41666667,5.470416667,6.44,12.9,313.7835003,5766,2.877891893,15.35833333,0,8.8,-23.875
2018-03-23,USA,3.0125,-2.8,8.3,-6.320833333,52.04166667,0,0,0,0.0716666667,1017.695833,28.58333333,5.348333333,7.3,15.4,315.6203271,5481,3.637346264,14.9875,0,11.1,-9
2018-03-24,USA,3.441666667,-3.5,10,-4.6875,57.70833333,0,0,0,0.0479166667,1019.020833,50.54166667,3.134166667,5.19,10.3,325.8059795,5977,3.306574932,14.55833333,0,13.5,5.666666667
2018-03-25,USA,2.591666667,-3.7,7.9,-3.866666667,63.83333333,0.4,0.4,0,0.0266666667,1024.0125,52.45833333,3.3575,5.06,10.3,36.4852554,4964,2.662174628,15.40833333,0,11.6,6.125
2018-03-26,USA,3.15,-2,8.8,-2.258333333,70.95833333,0,0,0,0.01625,1034.25,22.45833333,2.61,3.96,9.9,83.04618322,6198,2.224217845,14.85,0,10.8,7.125
2018-03-27,USA,3.075,-1.8,6.4,-0.841666667,77,1.1,1.1,0,0.01,1028.804167,98.95833333,2.29,3.11,6.9,166.4378918,2298,1.75216137,14.925,0,8.2,6.041666667
2018-03-28,USA,7.45,3.8,11.1,6.033333333,91.20833333,3.6,3.6,0,0.00375,1015.225,94.625,1.5125,2.94,6,156.1336443,1450,0.908390341,10.55,0,7.3,14.20833333
2018-03-29,USA,14.83333333,6.8,24.4,10.84166667,79.875,0.4,0.4,0,0,1010.066667,82.91666667,2.7525,6.2,12,132.2967936,4529,3.395356227,3.166666667,0,17.6,-11.33333333
2018-03-30,USA,15.4125,6.9,20.6,9.616666667,68.70833333,1.4,1.4,0,0,1007.658333,77.75,5.575,7.13,15.9,259.9108481,3114,5.479690219,2.5875,0,13.7,-11.16666667
2018-03-31,USA,8.2875,1.2,14.5,-1.808333333,52.125,0,0,0,0,1021.058333,1.708333333,3.4875,5.41,11.4,249.1613298,6557,5.237316945,9.7125,0,13.3,-16.58333333
2018-04-01,USA,11.88333333,8.4,17.3,3.716666667,57.625,0.7,0.7,0,0,1014.5625,87.125,3.825,5.63,11.1,269.5246925,3608,5.897796645,6.116666667,0,8.9,5.5
2018-04-02,USA,7.520833333,4,11.4,3.495833333,76.54166667,2.3,2.3,0,0,1015.166667,85.95833333,2.74,5.51,11,30.1999209,3286,2.43558014,10.47916667,0,7.4,18.91666667
2018-04-03,USA,9.120833333,4,15.3,5.7125,79.79166667,1.3,1.3,0,0,1013.570833,94.04166667,3.052083333,4.95,10.7,159.782285,2600,2.339045427,8.879166667,0,11.3,3.25
2018-04-04,USA,12.34583333,5.1,19.5,5.054166667,65.29166667,3,3,0,0,1003.554167,52.29166667,6.334583333,9.36,19.3,250.2566981,4040,4.980195256,5.654166667,0,14.4,-14.5
2018-04-05,USA,5.258333333,0.6,11,-6.0625,44.79166667,0,0,0,0,1017.9375,40.625,4.525416667,6.9,14.8,307.3670853,5671,4.90342097,12.74166667,0,10.4,-20.5
2018-04-06,USA,11.37916667,3.6,20.4,1.745833333,56.375,0,0,0,0,1009.758333,97.91666667,4.055833333,7.05,14.2,174.8794447,4407,5.872659271,6.620833333,0,16.8,11.58333333
2018-04-07,USA,6.1375,3.1,16.4,-2.079166667,56.625,2,1.9,0.07,0,1009.745833,99.625,3.644583333,5.8,12.4,322.8872635,1631,4.094810329,11.8625,0,13.3,0.25
2018-04-08,USA,4.020833333,-1.2,8.8,-7.970833333,42.29166667,0,0,0,0,1011.8625,70.66666667,4.305833333,6.38,13.5,331.9554206,6076,4.700080504,13.97916667,0,10,-14.33333333
2018-04-09,USA,4.070833333,0.9,8.4,-2.775,61.875,1.3,0.9,0.28,0,1019.020833,98.79166667,2.3125,3.99,8.4,47.47837495,3260,3.116049954,13.92916667,0,7.5,19.58333333
2018-04-10,USA,6.116666667,1.6,11.2,-1.183333333,64.20833333,0,0,0,0,1019.3,30.25,3.146666667,4.81,10.9,328.0973967,6669,3.374041984,11.88333333,0,9.6,2.333333333
2018-04-11,USA,6.7,0.4,13.4,-1.270833333,58.91666667,0,0,0,0,1018.595833,59.75,2.2975,4.51,9.8,240.2083346,3133,4.031945197,11.3,0,13,-5.291666667
2018-04-12,USA,14.24583333,4.6,23,4.2125,54.70833333,0,0,0,0,1013.058333,65.625,4.5075,8.21,16.9,205.9813545,5959,7.356665608,3.754166667,0,18.4,-4.208333333
2018-04-13,USA,20.875,13.9,27.7,8.045833333,44.54166667,0,0,0,0,1010.8375,52.25,5.205,6.59,13.2,204.590802,6603,13.68697234,0,2.875,13.8,-10.16666667
2018-04-14,USA,22.10833333,15.4,28.1,12.075,54.08333333,0,0,0,0,1010.883333,39.75,4.89625,7.21,14.6,203.4030952,6619,12.2204441,0,4.108333333,12.7,9.541666667
2018-04-15,USA,14.1375,7.2,20.3,11.08333333,82.70833333,4.8,4.8,0,0,1011.441667,68.54166667,5.37875,7.06,16.4,103.0850145,1519,2.789016263,3.8625,0,13.1,28.625
2018-04-16,USA,12.1375,6.5,18.2,7.433333333,75.33333333,46.7,46.7,0,0,998.1458333,96.58333333,5.408333333,8.07,23.1,275.0919083,2105,3.491150339,5.8625,0,11.7,-7.375
2018-04-17,USA,5.766666667,2.4,8.6,-4.325,48.70833333,0,0,0,0,1006.0375,68.16666667,4.950416667,6.46,13.5,279.9568555,3230,4.719400848,12.23333333,0,6.2,-26.625
2018-04-18,USA,8.345833333,0.2,17.1,0.229166667,57.91666667,0,0,0,0,1008.008333,11.75,2.59,3.37,7.8,254.812292,7029,4.622013192,9.654166667,0,16.9,9.208333333
2018-04-19,USA,8.916666667,5.7,13.2,2.170833333,64.45833333,1.3,1.3,0,0,1007.266667,62.29166667,4.75,9.1,18.6,322.1999579,3594,4.057483949,9.083333333,0,7.5,6.541666667
2018-04-20,USA,7.445833333,1,13.6,-2.904166667,48.625,0,0,0,0,1022.345833,0.25,4.350833333,5.52,12.4,313.0003094,7399,5.30675854,10.55416667,0,12.6,-15.83333333
2018-04-21,USA,8.970833333,1.3,15.8,0.241666667,57.45833333,0,0,0,0,1027.05,56.25,1.568333333,3.61,6.7,344.5760449,7009,4.874425581,9.029166667,0,14.5,8.833333333
2018-04-22,USA,11.3625,6.1,17.6,4.7875,66.25,0,0,0,0,1025.6125,78.25,2.4675,4.18,9.4,131.0069966,4963,4.538302466,6.6375,0,11.5,8.791666667
2018-04-23,USA,13.35,6.8,20.1,4.1125,55.79166667,0,0,0,0,1026.15,81.75,2.861666667,5.64,12,130.4918953,6068,6.774523017,4.65,0,13.3,-10.45833333
2018-04-24,USA,12.7,9.8,16.5,7.5375,71.66666667,5.8,5.8,0,0,1019.7125,100,4.1275,6.4,14.9,97.88210533,1373,4.161119585,5.3,0,6.7,15.875
2018-04-25,USA,14.55416667,12,17.3,12.96666667,90.625,5.7,5.7,0,0,1005.133333,91.41666667,3.46375,5.36,10.9,352.9251841,1864,1.553446131,3.445833333,0,5.3,18.95833333
2018-04-26,USA,13.94583333,7.2,20.2,6.170833333,62.79166667,0,0,0,0,1007.516667,52.79166667,3.840416667,6.26,12.1,314.1667841,7433,5.927266168,4.054166667,0,13,-27.83333333
2018-04-27,USA,13.75,10.9,17.8,9.683333333,77.33333333,19.2,19.2,0,0,1005.1625,79.83333333,2.454166667,4.91,12.7,40.86372788,2961,3.565135042,4.25,0,6.9,14.54166667
2018-04-28,USA,15.40833333,7.7,24.5,9.108333333,71.29166667,1.5,1.5,0,0,1006.016667,50.95833333,2.905,5.83,11.2,219.258423,5984,5.025961641,2.591666667,0,16.8,-6.041666667
2018-04-29,USA,8.758333333,5.3,11.6,0.3625,56.45833333,0.6,0.6,0,0,1015.4375,53.33333333,5.78,7.72,16.1,312.9164264,5145,4.91781955,9.241666667,0,6.3,-14.83333333
2018-04-30,USA,11.71666667,3.8,19.4,-1.025,43.375,0,0,0,0,1018.066667,14.66666667,4.287083333,6.22,13,292.0546299,7716,7.794850164,6.283333333,0,15.6,-13.08333333
2018-05-01,USA,16.97916667,7.4,25.3,4,44.54166667,0,0,0,0,1017.870833,0,2.77625,3.55,8.2,269.6517839,7740,10.7321444,1.020833333,0,17.9,1.166666667
2018-05-02,USA,21.24166667,10.2,30.6,9.466666667,50.33333333,0,0,0,0,1016.95,24.54166667,2.483333333,3.58,8.2,238.2636555,7538,12.53667847,0,3.241666667,20.4,5.791666667
2018-05-03,USA,24.15,14.5,32.1,13.38333333,53.08333333,0,0,0,0,1014.870833,73.625,3.27375,5.01,10.6,217.5987053,6718,14.12608465,0,6.15,17.6,2.75
2018-05-04,USA,25.30416667,17.7,33.3,15.37916667,57,0.3,0.3,0,0,1011.1625,81,3.120416667,6.08,12.7,218.3938254,6231,13.87019273,0,7.304166667,15.6,3.916666667
2018-05-05,USA,19.79583333,14.5,23.3,9.3375,54.29166667,1.4,1.4,0,0,1015.7625,97.16666667,2.729583333,5.36,11,26.85457781,4074,10.55355918,0,1.795833333,8.8,-2.708333333
2018-05-06,USA,16.975,13.8,23.2,12.86666667,77.83333333,5.3,5.3,0,0,1010.795833,89.58333333,2.77,5.2,11,8.825465763,4301,4.28849974,1.025,0,9.4,23.54166667
2018-05-07,USA,17.97916667,12.7,23.4,11.13333333,67.58333333,0,0,0,0,1014.4125,46.79166667,2.634166667,4.46,10.1,23.658175,6015,6.682005606,0.0208333333,0,10.7,-10.25
2018-05-08,USA,18.44583333,13,24.3,10.54166667,63.75,0,0,0,0,1019.308333,30.33333333,2.042083333,3.16,7.3,93.52535977,6610,7.694289896,0,0.445833333,11.3,-3.833333333
2018-05-09,USA,18.65,10.7,26.5,9.695833333,60.95833333,0,0,0,0,1017.125,14.04166667,1.795,4.84,10.8,106.6075291,7442,8.393443937,0,0.65,15.8,-2.791666667
2018-05-10,USA,20.1375,14.6,30.7,14.67083333,72.79166667,3.7,3.7,0,0,1010.641667,58.75,3.384166667,4.56,13.8,212.0852719,5291,6.416427244,0,2.1375,16.1,11.83333333
2018-05-11,USA,21.725,15.2,27.7,13.70416667,63.70833333,0,0,0,0,1012.9125,36.875,2.984166667,4.96,11.1,316.6904082,6053,9.43560659,0,3.725,12.5,-9.083333333
2018-05-12,USA,23.22916667,17.2,32.3,16.10416667,67.79166667,19.9,19.9,0,0,1013.470833,66.25,2.35625,4.3,11.8,39.80580078,6148,9.17491581,0,5.229166667,15.1,4.083333333
2018-05-13,USA,19.14583333,16.1,23.5,17.35,89.83333333,17.7,17.7,0,0,1014.5125,95.75,2.43375,3.8,10.1,85.15739913,2299,2.254422881,0,1.145833333,7.4,22.04166667
2018-05-14,USA,20.6,15.1,29.9,16.89583333,82.08333333,5.9,5.9,0,0,1012.491667,96.5,1.936666667,4.37,8.9,169.9207018,4537,4.347572893,0,2.6,14.8,-7.75
