date,country,category,spend_usd
2018-03-19,USA,OOH,60121.4
2018-03-20,USA,OOH,60121.4
2018-03-21,USA,OOH,60121.4
2018-03-22,USA,OOH,60121.4
2018-03-23,USA,TV,60121.4
2018-03-24,USA,OOH,60121.4
2018-03-25,USA,TV,0.0
2018-03-26,USA,OOH,0.0
2018-03-27,USA,ONLINE,0.0
2018-03-28,USA,SOCIAL,0.0
2018-03-29,USA,SOCIAL,0.0
2018-03-30,USA,SOCIAL,0.0
2018-03-31,USA,TV,0.0
2018-04-01,USA,ONLINE,0.0
2018-04-02,USA,SOCIAL,0.0
2018-04-03,USA,OOH,0.0
2018-04-04,USA,OOH,0.0
2018-04-05,USA,TV,0.0
2018-04-06,USA,OOH,0.0
2018-04-07,USA,SOCIAL,49272.44
2018-04-08,USA,TV,49272.44
2018-04-09,USA,OOH,49272.44
2018-04-10,USA,ONLINE,49272.44
2018-04-11,USA,OOH,49272.44
2018-04-12,USA,OOH,49272.44
2018-04-13,USA,OOH,49272.44
2018-04-14,USA,ONLINE,49272.44
2018-04-15,USA,ONLINE,49272.44
2018-04-16,USA,OOH,49272.44
2018-04-17,USA,ONLINE,49272.44
2018-04-18,USA,ONLINE,49272.44
2018-04-19,USA,TV,49272.44
2018-04-20,USA,SOCIAL,49272.44
2018-04-21,USA,ONLINE,49272.44
2018-04-22,USA,ONLINE,49272.44
2018-04-23,USA,SOCIAL,49272.44
2018-04-24,USA,ONLINE,49272.44
2018-04-25,USA,OOH,49272.44
2018-04-26,USA,OOH,49272.44
2018-04-27,USA,TV,49272.44
2018-04-28,USA,ONLINE,0.0
2018-04-29,USA,TV,0.0
2018-04-30,USA,SOCIAL,0.0
2018-05-01,USA,ONLINE,0.0
2018-05-02,USA,ONLINE,0.0
2018-05-03,USA,TV,0.0
2018-05-04,USA,ONLINE,0.0
2018-05-05,USA,OOH,0.0
2018-05-06,USA,SOCIAL,0.0
2018-05-07,USA,OOH,23523.85
2018-05-08,USA,ONLINE,23523.85
2018-05-09,USA,TV,23523.85
2018-05-10,USA,SOCIAL,23523.85
2018-05-11,USA,ONLINE,23523.85
2018-05-12,USA,SOCIAL,23523.85
2018-05-13,USA,SOCIAL,23523.85
2018-05-14,USA,TV,23523.85
2018-05-15,USA,SOCIAL,23523.85
2018-05-16,USA,OOH,23523.85
2018-05-17,USA,SOCIAL,23523.85
2018-05-18,USA,ONLINE,23523.85
2018-05-19,USA,OOH,23523.85
2018-05-20,USA,SOCIAL,78716.48
2018-05-21,USA,ONLINE,78716.48
2018-05-22,USA,ONLINE,78716.48
2018-05-23,USA,ONLINE,78716.48
2018-05-24,USA,SOCIAL,78716.48
2018-05-25,USA,OOH,78716.48
2018-05-26,USA,TV,78716.48
2018-05-27,USA,ONLINE,0.0
2018-05-28,USA,OOH,42461.24
2018-05-29,USA,SOCIAL,42461.24
2018-05-30,USA,OOH,42461.24
2018-05-31,USA,SOCIAL,42461.24
2018-06-01,USA,SOCIAL,42461.24
2018-06-02,USA,TV,42461.24
2018-06-03,USA,SOCIAL,42461.24
2018-06-04,USA,OOH,42461.24
2018-06-05,USA,ONLINE,42461.24
2018-06-06,USA,OOH,42461.24
2018-06-07,USA,OOH,42461.24
2018-06-08,USA,OOH,42461.24
2018-06-09,USA,TV,42461.24
2018-06-10,USA,SOCIAL,42461.24
2018-06-11,USA,OOH,42461.24
2018-06-12,USA,TV,42461.24
2018-06-13,USA,ONLINE,42461.24
2018-06-14,USA,ONLINE,42461.24
2018-06-15,USA,ONLINE,42461.24
2018-06-16,USA,SOCIAL,42461.24
2018-06-17,USA,ONLINE,42461.24
2018-06-18,USA,TV,42461.24
2018-06-19,USA,OOH,0.0
2018-06-20,USA,OOH,0.0
2018-06-21,USA,SOCIAL,0.0
2018-06-22,USA,TV,0.0
2018-06-23,USA,ONLINE,0.0
2018-06-24,USA,TV,0.0
2018-06-25,USA,SOCIAL,0.0
2018-06-26,USA,TV,0.0
2018-06-27,USA,SOCIAL,0.0
2018-06-28,USA,ONLINE,0.0
2018-06-29,USA,ONLINE,0.0
2018-06-30,USA,OOH,0.0
2018-07-01,USA,ONLINE,0.0
2018-07-02,USA,SOCIAL,0.0
2018-07-03,USA,SOCIAL,0.0
2018-07-04,USA,SOCIAL,0.0
2018-07-05,USA,TV,0.0
2018-07-06,USA,ONLINE,0.0
2018-07-07,USA,ONLINE,0.0
2018-07-08,USA,TV,0.0
2018-07-09,USA,SOCIAL,0.0
2018-07-10,USA,SOCIAL,0.0
2018-07-11,USA,TV,0.0
2018-07-12,USA,OOH,0.0
2018-07-13,USA,SOCIAL,0.0
2018-07-14,USA,OOH,0.0
2018-07-15,USA,OOH,0.0
2018-07-16,USA,OOH,0.0
2018-07-17,USA,ONLINE,0.0
2018-07-18,USA,SOCIAL,0.0
2018-07-19,USA,SOCIAL,0.0
2018-07-20,USA,ONLINE,0.0
2018-07-21,USA,OOH,0.0
2018-07-22,USA,SOCIAL,0.0
2018-07-23,USA,SOCIAL,59526.12
2018-07-24,USA,SOCIAL,59526.12
2018-07-25,USA,ONLINE,59526.12
2018-07-26,USA,OOH,59526.12
2018-07-27,USA,SOCIAL,59526.12
2018-07-28,USA,SOCIAL,59526.12
2018-07-29,USA,OOH,59526.12
2018-07-30,USA,TV,59526.12
2018-07-31,USA,TV,59526.12
2018-08-01,USA,ONLINE,59526.12
2018-08-02,USA,SOCIAL,59526.12
2018-08-03,USA,SOCIAL,59526.12
2018-08-04,USA,SOCIAL,59526.12
2018-08-05,USA,TV,59526.12
2018-08-06,USA,OOH,59526.12
2018-08-07,USA,OOH,59526.12
2018-08-08,USA,SOCIAL,59526.12
2018-08-09,USA,OOH,59526.12
2018-08-10,USA,TV,59526.12
2018-08-11,USA,TV,59526.12
2018-08-12,USA,OOH,59526.12
2018-08-13,USA,TV,59526.12
2018-08-14,USA,ONLINE,0.0
2018-08-15,USA,OOH,38204.35
2018-08-16,USA,SOCIAL,38204.35
2018-08-17,USA,TV,38204.35
2018-08-18,USA,SOCIAL,38204.35
2018-08-19,USA,TV,38204.35
2018-08-20,USA,SOCIAL,38204.35
2018-08-21,USA,TV,38204.35
2018-08-22,USA,ONLINE,38204.35
2018-08-23,USA,TV,38204.35
2018-08-24,USA,TV,38204.35
2018-08-25,USA,ONLINE,38204.35
2018-08-26,USA,OOH,38204.35
2018-08-27,USA,TV,38204.35
2018-08-28,USA,OOH,38204.35
2018-08-29,USA,ONLINE,38204.35
2018-08-30,USA,OOH,38204.35
2018-08-31,USA,SOCIAL,0.0
2018-09-01,USA,OOH,0.0
2018-09-02,USA,TV,0.0
2018-09-03,USA,OOH,0.0
2018-09-04,USA,TV,0.0
2018-09-05,USA,ONLINE,35452.58
2018-09-06,USA,TV,35452.58
2018-09-07,USA,ONLINE,35452.58
2018-09-08,USA,OOH,35452.58
2018-09-09,USA,ONLINE,35452.58
2018-09-10,USA,SOCIAL,35452.58
2018-09-11,USA,ONLINE,35452.58
2018-09-12,USA,SOCIAL,35452.58
2018-09-13,USA,TV,35452.58
2018-09-14,USA,OOH,35452.58
2018-09-15,USA,OOH,35452.58
2018-09-16,USA,TV,35452.58
2018-09-17,USA,OOH,35452.58
2018-09-18,USA,TV,35452.58
2018-09-19,USA,SOCIAL,35452.58
2018-09-20,USA,ONLINE,35452.58
2018-09-21,USA,ONLINE,35452.58
2018-09-22,USA,SOCIAL,35452.58
2018-09-23,USA,SOCIAL,35452.58
2018-09-24,USA,OOH,35452.58
2018-09-25,USA,ONLINE,35452.58
2018-09-26,USA,ONLINE,35452.58
2018-09-27,USA,ONLINE,35452.58
2018-09-28,USA,SOCIAL,35452.58
2018-09-29,USA,ONLINE,0.0
2018-09-30,USA,OOH,0.0
2018-10-01,USA,TV,0.0
2018-10-02,USA,SOCIAL,0.0
2018-10-03,USA,OOH,0.0
2018-10-04,USA,OOH,0.0
2018-10-05,USA,SOCIAL,0.0
2018-10-06,USA,OOH,0.0
2018-10-07,USA,OOH,0.0
2018-10-08,USA,TV,77200.1
2018-10-09,USA,TV,77200.1
2018-10-10,USA,TV,77200.1
2018-10-11,USA,ONLINE,77200.1
2018-10-12,USA,TV,77200.1
2018-10-13,USA,TV,77200.1
2018-10-14,USA,TV,77200.1
2018-10-15,USA,ONLINE,77200.1
2018-10-16,USA,SOCIAL,77200.1
2018-10-17,USA,TV,77200.1
2018-10-18,USA,SOCIAL,77200.1
2018-10-19,USA,OOH,77200.1
2018-10-20,USA,ONLINE,77200.1
2018-10-21,USA,TV,77200.1
2018-10-22,USA,ONLINE,77200.1
2018-10-23,USA,OOH,77200.1
2018-10-24,USA,OOH,77200.1
2018-10-25,USA,TV,77200.1
2018-10-26,USA,TV,77200.1
2018-10-27,USA,OOH,77200.1
2018-10-28,USA,ONLINE,49963.16
2018-10-29,USA,TV,49963.16
2018-10-30,USA,ONLINE,49963.16
2018-10-31,USA,TV,49963.16
2018-11-01,USA,TV,49963.16
2018-11-02,USA,OOH,49963.16
2018-11-03,USA,ONLINE,49963.16
2018-11-04,USA,SOCIAL,49963.16
2018-11-05,USA,TV,49963.16
2018-11-06,USA,ONLINE,49963.16
2018-11-07,USA,OOH,49963.16
2018-11-08,USA,SOCIAL,49963.16
2018-11-09,USA,TV,49963.16
2018-11-10,USA,SOCIAL,49963.16
2018-11-11,USA,TV,49963.16
2018-11-12,USA,ONLINE,49963.16
2018-11-13,USA,TV,49963.16
2018-11-14,USA,SOCIAL,49963.16
2018-11-15,USA,OOH,49963.16
2018-11-16,USA,SOCIAL,49963.16
2018-11-17,USA,ONLINE,49963.16
2018-11-18,USA,TV,0.0
2018-11-19,USA,SOCIAL,0.0
2018-11-20,USA,SOCIAL,0.0
2018-11-21,USA,OOH,0.0
2018-11-22,USA,OOH,0.0
2018-11-23,USA,TV,0.0
2018-11-24,USA,TV,0.0
2018-11-25,USA,SOCIAL,0.0
2018-11-26,USA,OOH,0.0
2018-11-27,USA,ONLINE,0.0
2018-11-28,USA,OOH,0.0
2018-11-29,USA,TV,0.0
2018-11-30,USA,TV,0.0
2018-12-01,USA,TV,0.0
2018-12-02,USA,TV,0.0
2018-12-03,USA,SOCIAL,0.0
2018-12-04,USA,OOH,0.0
2018-12-05,USA,SOCIAL,0.0
2018-12-06,USA,SOCIAL,0.0
2018-12-07,USA,OOH,0.0
2018-12-08,USA,TV,0.0
2018-12-09,USA,OOH,0.0
2018-12-10,USA,TV,0.0
2018-12-11,USA,TV,0.0
2018-12-12,USA,ONLINE,0.0
2018-12-13,USA,SOCIAL,0.0
2018-12-14,USA,TV,0.0
2018-12-15,USA,OOH,0.0
2018-12-16,USA,OOH,0.0
2018-12-17,USA,TV,0.0
2018-12-18,USA,ONLINE,0.0
2018-12-19,USA,ONLINE,0.0
2018-12-20,USA,TV,0.0
2018-12-21,USA,TV,0.0
2018-12-22,USA,ONLINE,0.0
2018-12-23,USA,SOCIAL,0.0
2018-12-24,USA,SOCIAL,0.0
2018-12-25,USA,TV,0.0
2018-12-26,USA,ONLINE,0.0
2018-12-27,USA,SOCIAL,0.0
2018-12-28,USA,SOCIAL,0.0
2018-12-29,USA,OOH,0.0
2018-12-30,USA,OOH,0.0
2018-12-31,USA,OOH,0.0
2019-01-01,USA,OOH,0.0
2019-01-02,USA,ONLINE,0.0
2019-01-03,USA,OOH,0.0
2019-01-04,USA,OOH,0.0
2019-01-05,USA,TV,0.0
2019-01-06,USA,ONLINE,71543.19
2019-01-07,USA,ONLINE,71543.19
2019-01-08,USA,SOCIAL,71543.19
2019-01-09,USA,ONLINE,71543.19
2019-01-10,USA,SOCIAL,71543.19
2019-01-11,USA,SOCIAL,71543.19
2019-01-12,USA,TV,71543.19
2019-01-13,USA,SOCIAL,71543.19
2019-01-14,USA,ONLINE,71543.19
2019-01-15,USA,TV,71543.19
2019-01-16,USA,OOH,71543.19
2019-01-17,USA,OOH,71543.19
2019-01-18,USA,OOH,71543.19
2019-01-19,USA,ONLINE,71543.19
2019-01-20,USA,ONLINE,71543.19
2019-01-21,USA,OOH,71543.19
2019-01-22,USA,TV,71543.19
2019-01-23,USA,ONLINE,71543.19
2019-01-24,USA,TV,71543.19
2019-01-25,USA,ONLINE,71543.19
2019-01-26,USA,TV,71543.19
2019-01-27,USA,TV,71543.19
2019-01-28,USA,OOH,71543.19
2019-01-29,USA,OOH,71543.19
2019-01-30,USA,TV,22581.3
2019-01-31,USA,OOH,22581.3
2019-02-01,USA,ONLINE,22581.3
2019-02-02,USA,TV,22581.3
2019-02-03,USA,TV,22581.3
2019-02-04,USA,ONLINE,22581.3
2019-02-05,USA,OOH,22581.3
2019-02-06,USA,OOH,22581.3
2019-02-07,USA,ONLINE,64769.74
2019-02-08,USA,TV,64769.74
2019-02-09,USA,TV,64769.74
2019-02-10,USA,OOH,64769.74
2019-02-11,USA,TV,64769.74
2019-02-12,USA,TV,64769.74
2019-02-13,USA,TV,64769.74
2019-02-14,USA,TV,64769.74
2019-02-15,USA,OOH,64769.74
2019-02-16,USA,ONLINE,64769.74
2019-02-17,USA,OOH,64769.74
2019-02-18,USA,SOCIAL,64769.74
2019-02-19,USA,SOCIAL,64769.74
2019-02-20,USA,TV,64769.74
2019-02-21,USA,SOCIAL,64769.74
2019-02-22,USA,TV,64769.74
2019-02-23,USA,SOCIAL,40067.89
2019-02-24,USA,OOH,40067.89
2019-02-25,USA,OOH,40067.89
2019-02-26,USA,TV,40067.89
2019-02-27,USA,OOH,40067.89
2019-02-28,USA,SOCIAL,40067.89
2019-03-01,USA,ONLINE,40067.89
2019-03-02,USA,SOCIAL,0.0
2019-03-03,USA,SOCIAL,0.0
2019-03-04,USA,TV,0.0
2019-03-05,USA,SOCIAL,0.0
2019-03-06,USA,SOCIAL,0.0
2019-03-07,USA,OOH,0.0
2019-03-08,USA,ONLINE,0.0
2019-03-09,USA,SOCIAL,0.0
2019-03-10,USA,TV,0.0
2019-03-11,USA,ONLINE,0.0
2019-03-12,USA,SOCIAL,0.0
2019-03-13,USA,OOH,0.0
2019-03-14,USA,OOH,0.0
2019-03-15,USA,SOCIAL,0.0
2019-03-16,USA,TV,0.0
2019-03-17,USA,TV,0.0
2019-03-18,USA,OOH,0.0
2019-03-19,USA,OOH,0.0
2019-03-20,USA,TV,0.0
2019-03-21,USA,OOH,0.0
2019-03-22,USA,ONLINE,0.0
2019-03-23,USA,SOCIAL,0.0
2019-03-24,USA,SOCIAL,0.0
2019-03-25,USA,ONLINE,0.0
2019-03-26,USA,OOH,51432.65
2019-03-27,USA,OOH,51432.65
2019-03-28,USA,ONLINE,51432.65
2019-03-29,USA,OOH,51432.65
2019-03-30,USA,TV,51432.65
2019-03-31,USA,ONLINE,51432.65
2019-04-01,USA,SOCIAL,51432.65
2019-04-02,USA,OOH,51432.65
2019-04-03,USA,ONLINE,51432.65
2019-04-04,USA,SOCIAL,51432.65
2019-04-05,USA,ONLINE,51432.65
2019-04-06,USA,OOH,51432.65
2019-04-07,USA,ONLINE,51432.65
2019-04-08,USA,ONLINE,51432.65
2019-04-09,USA,TV,51432.65
2019-04-10,USA,SOCIAL,0.0
2019-04-11,USA,ONLINE,0.0
2019-04-12,USA,ONLINE,0.0
2019-04-13,USA,ONLINE,0.0
2019-04-14,USA,OOH,0.0
2019-04-15,USA,SOCIAL,0.0
2019-04-16,USA,ONLINE,0.0
2019-04-17,USA,SOCIAL,0.0
2019-04-18,USA,OOH,0.0
2019-04-19,USA,ONLINE,0.0
2019-04-20,USA,SOCIAL,0.0
2019-04-21,USA,ONLINE,0.0
2019-04-22,USA,TV,0.0
2019-04-23,USA,ONLINE,0.0
2019-04-24,USA,SOCIAL,0.0
2019-04-25,USA,OOH,0.0
2019-04-26,USA,TV,0.0
2019-04-27,USA,SOCIAL,40879.02
2019-04-28,USA,ONLINE,40879.02
2019-04-29,USA,TV,40879.02
2019-04-30,USA,ONLINE,40879.02
2019-05-01,USA,SOCIAL,40879.02
2019-05-02,USA,ONLINE,40879.02
2019-05-03,USA,SOCIAL,40879.02
2019-05-04,USA,TV,40879.02
2019-05-05,USA,TV,40879.02
2019-05-06,USA,OOH,40879.02
2019-05-07,USA,OOH,40879.02
2019-05-08,USA,SOCIAL,40879.02
2019-05-09,USA,TV,40879.02
2019-05-10,USA,OOH,40879.02
2019-05-11,USA,ONLINE,0.0
2019-05-12,USA,OOH,0.0
2019-05-13,USA,TV,0.0
2019-05-14,USA,OOH,0.0
2019-05-15,USA,SOCIAL,0.0
2019-05-16,USA,SOCIAL,15924.27
2019-05-17,USA,OOH,15924.27
2019-05-18,USA,TV,15924.27
2019-05-19,USA,ONLINE,15924.27
2019-05-20,USA,OOH,15924.27
2019-05-21,USA,TV,15924.27
2019-05-22,USA,OOH,15924.27
2019-05-23,USA,SOCIAL,15924.27
2019-05-24,USA,ONLINE,15924.27
2019-05-25,USA,TV,15924.27
2019-05-26,USA,SOCIAL,15924.27
2019-05-27,USA,TV,15924.27
2019-05-28,USA,OOH,15924.27
2019-05-29,USA,SOCIAL,15924.27
2019-05-30,USA,TV,15924.27
2019-05-31,USA,ONLINE,15924.27
2019-06-01,USA,ONLINE,15924.27
2019-06-02,USA,ONLINE,15924.27
2019-06-03,USA,OOH,15924.27
2019-06-04,USA,OOH,15924.27
2019-06-05,USA,TV,15924.27
2019-06-06,USA,OOH,15924.27
2019-06-07,USA,ONLINE,15924.27
2019-06-08,USA,OOH,0.0
2019-06-09,USA,ONLINE,0.0
2019-06-10,USA,SOCIAL,0.0
2019-06-11,USA,SOCIAL,0.0
2019-06-12,USA,ONLINE,0.0
2019-06-13,USA,TV,0.0
2019-06-14,USA,ONLINE,0.0
2019-06-15,USA,ONLINE,0.0
2019-06-16,USA,ONLINE,0.0
2019-06-17,USA,SOCIAL,0.0
2019-06-18,USA,SOCIAL,0.0
2019-06-19,USA,OOH,0.0
2019-06-20,USA,OOH,0.0
2019-06-21,USA,SOCIAL,0.0
2019-06-22,USA,TV,0.0
2019-06-23,USA,ONLINE,0.0
2019-06-24,USA,ONLINE,0.0
2019-06-25,USA,TV,0.0
2019-06-26,USA,ONLINE,0.0
2019-06-27,USA,ONLINE,0.0
2019-06-28,USA,OOH,0.0
2019-06-29,USA,TV,0.0
2019-06-30,USA,SOCIAL,0.0
2019-07-01,USA,OOH,0.0
2019-07-02,USA,TV,0.0
2019-07-03,USA,TV,0.0
2019-07-04,USA,TV,0.0
2019-07-05,USA,TV,0.0
2019-07-06,USA,OOH,35324.28
2019-07-07,USA,OOH,35324.28
2019-07-08,USA,SOCIAL,35324.28
2019-07-09,USA,OOH,35324.28
2019-07-10,USA,ONLINE,35324.28
2019-07-11,USA,SOCIAL,35324.28
2019-07-12,USA,ONLINE,35324.28
2019-07-13,USA,SOCIAL,35324.28
2019-07-14,USA,TV,35324.28
2019-07-15,USA,TV,35324.28
2019-07-16,USA,TV,35324.28
2019-07-17,USA,OOH,35324.28
2019-07-18,USA,ONLINE,35324.28
2019-07-19,USA,TV,35324.28
2019-07-20,USA,SOCIAL,35324.28
2019-07-21,USA,OOH,35324.28
2019-07-22,USA,ONLINE,0.0
2019-07-23,USA,ONLINE,0.0
2019-07-24,USA,TV,0.0
2019-07-25,USA,ONLINE,0.0
2019-07-26,USA,TV,0.0
2019-07-27,USA,ONLINE,0.0
2019-07-28,USA,ONLINE,0.0
2019-07-29,USA,OOH,0.0
2019-07-30,USA,TV,0.0
2019-07-31,USA,SOCIAL,0.0
2019-08-01,USA,OOH,0.0
2019-08-02,USA,OOH,0.0
2019-08-03,USA,OOH,0.0
2019-08-04,USA,SOCIAL,0.0
2019-08-05,USA,ONLINE,0.0
2019-08-06,USA,TV,0.0
2019-08-07,USA,SOCIAL,0.0
2019-08-08,USA,SOCIAL,0.0
2019-08-09,USA,TV,0.0
2019-08-10,USA,OOH,0.0
2019-08-11,USA,SOCIAL,0.0
2019-08-12,USA,OOH,0.0
2019-08-13,USA,OOH,0.0
2019-08-14,USA,ONLINE,0.0
2019-08-15,USA,TV,0.0
2019-08-16,USA,ONLINE,0.0
2019-08-17,USA,TV,0.0
2019-08-18,USA,ONLINE,0.0
2019-08-19,USA,SOCIAL,0.0
2019-08-20,USA,ONLINE,87946.77
2019-08-21,USA,SOCIAL,87946.77
2019-08-22,USA,ONLINE,87946.77
2019-08-23,USA,TV,87946.77
2019-08-24,USA,SOCIAL,87946.77
2019-08-25,USA,TV,87946.77
2019-08-26,USA,SOCIAL,87946.77
2019-08-27,USA,ONLINE,87946.77
2019-08-28,USA,ONLINE,87946.77
2019-08-29,USA,ONLINE,87946.77
2019-08-30,USA,SOCIAL,87946.77
2019-08-31,USA,TV,0.0
2019-09-01,USA,TV,0.0
2019-09-02,USA,TV,0.0
2019-09-03,USA,ONLINE,0.0
2019-09-04,USA,ONLINE,56636.9
2019-09-05,USA,SOCIAL,56636.9
2019-09-06,USA,TV,56636.9
2019-09-07,USA,ONLINE,56636.9
2019-09-08,USA,ONLINE,56636.9
2019-09-09,USA,SOCIAL,56636.9
2019-09-10,USA,OOH,56636.9
2019-09-11,USA,SOCIAL,56636.9
2019-09-12,USA,OOH,56636.9
2019-09-13,USA,ONLINE,56636.9
2019-09-14,USA,ONLINE,56636.9
2019-09-15,USA,TV,56636.9
2019-09-16,USA,ONLINE,56636.9
2019-09-17,USA,ONLINE,56636.9
2019-09-18,USA,TV,56636.9
2019-09-19,USA,TV,56636.9
2019-09-20,USA,OOH,56636.9
2019-09-21,USA,SOCIAL,56636.9
2019-09-22,USA,ONLINE,56636.9
2019-09-23,USA,OOH,56636.9
2019-09-24,USA,ONLINE,56636.9
2019-09-25,USA,ONLINE,0.0
2019-09-26,USA,ONLINE,0.0
2019-09-27,USA,SOCIAL,0.0
2019-09-28,USA,ONLINE,32066.82
2019-09-29,USA,SOCIAL,32066.82
2019-09-30,USA,SOCIAL,32066.82
2019-10-01,USA,ONLINE,32066.82
2019-10-02,USA,SOCIAL,32066.82
2019-10-03,USA,TV,32066.82
2019-10-04,USA,SOCIAL,32066.82
2019-10-05,USA,OOH,32066.82
2019-10-06,USA,OOH,32066.82
2019-10-07,USA,TV,32066.82
2019-10-08,USA,TV,32066.82
2019-10-09,USA,SOCIAL,32066.82
2019-10-10,USA,TV,32066.82
2019-10-11,USA,TV,32066.82
2019-10-12,USA,TV,32066.82
2019-10-13,USA,OOH,32066.82
2019-10-14,USA,OOH,0.0
2019-10-15,USA,OOH,0.0
2019-10-16,USA,TV,0.0
2019-10-17,USA,TV,0.0
2019-10-18,USA,OOH,0.0
2019-10-19,USA,SOCIAL,0.0
2019-10-20,USA,OOH,0.0
2019-10-21,USA,TV,0.0
2019-10-22,USA,OOH,0.0
2019-10-23,USA,OOH,0.0
2019-10-24,USA,ONLINE,0.0
2019-10-25,USA,SOCIAL,0.0
2019-10-26,USA,ONLINE,0.0
2019-10-27,USA,OOH,0.0
2019-10-28,USA,SOCIAL,0.0
2019-10-29,USA,SOCIAL,0.0
2019-10-30,USA,TV,0.0
2019-10-31,USA,SOCIAL,0.0
2019-11-01,USA,TV,0.0
2019-11-02,USA,TV,0.0
2019-11-03,USA,ONLINE,0.0
2019-11-04,USA,ONLINE,0.0
2019-11-05,USA,SOCIAL,0.0
2019-11-06,USA,ONLINE,0.0
2019-11-07,USA,TV,44107.35
2019-11-08,USA,OOH,44107.35
2019-11-09,USA,TV,44107.35
2019-11-10,USA,TV,44107.35
2019-11-11,USA,ONLINE,44107.35
2019-11-12,USA,SOCIAL,44107.35
2019-11-13,USA,TV,44107.35
2019-11-14,USA,TV,44107.35
2019-11-15,USA,OOH,44107.35
2019-11-16,USA,TV,44107.35
2019-11-17,USA,TV,44107.35
2019-11-18,USA,ONLINE,44107.35
2019-11-19,USA,TV,44107.35
2019-11-20,USA,SOCIAL,44107.35
2019-11-21,USA,ONLINE,0.0
2019-11-22,USA,OOH,0.0
2019-11-23,USA,OOH,0.0
2019-11-24,USA,TV,0.0
2019-11-25,USA,OOH,0.0
2019-11-26,USA,ONLINE,0.0
2019-11-27,USA,SOCIAL,0.0
2019-11-28,USA,SOCIAL,0.0
2019-11-29,USA,SOCIAL,0.0
2019-11-30,USA,TV,0.0
2019-12-01,USA,OOH,0.0
2019-12-02,USA,TV,0.0
2019-12-03,USA,OOH,0.0
2019-12-04,USA,ONLINE,0.0
2019-12-05,USA,SOCIAL,0.0
2019-12-06,USA,TV,0.0
2019-12-07,USA,SOCIAL,0.0
2019-12-08,USA,SOCIAL,0.0
2019-12-09,USA,SOCIAL,0.0
2019-12-10,USA,TV,0.0
2019-12-11,USA,SOCIAL,0.0
2019-12-12,USA,OOH,0.0
2019-12-13,USA,ONLINE,0.0
2019-12-14,USA,SOCIAL,44176.07
2019-12-15,USA,SOCIAL,44176.07
2019-12-16,USA,TV,44176.07
