week,factory,reg_capacity,ot_capacity
2018-01-22,FC_DEU_3,178847,23653
2018-01-22,FC_DEU_4,185429,27798
2018-01-22,FC_FRA_1,228648,24930
2018-01-22,FC_FRA_2,185916,26724
2018-01-22,FC_FRA_3,148275,14868
2018-01-22,FC_FRA_4,210867,34700
2018-01-22,FC_KOR_1,194112,27739
2018-01-22,FC_KOR_2,161579,16541
2018-01-22,FC_KOR_3,174276,24955
2018-01-22,FC_KOR_4,215351,21866
2018-01-22,FC_JPN_1,147036,14720
2018-01-22,FC_JPN_2,169725,24544
2018-01-22,FC_JPN_3,158575,17345
2018-01-22,FC_JPN_4,188526,36563
2018-01-22,FC_GBR_1,186500,29067
2018-01-22,FC_GBR_2,165779,19607
2018-01-22,FC_GBR_3,242542,30219
2018-01-22,FC_GBR_4,189893,30427
2018-01-22,FC_CAN_1,159154,29373
2018-01-22,FC_CAN_2,144054,22867
2018-01-22,FC_CAN_3,156818,17576
2018-01-22,FC_CAN_4,206947,32763
2018-01-22,FC_AUS_1,215731,42860
2018-01-22,FC_AUS_2,205698,23250
2018-01-22,FC_AUS_3,215661,27888
2018-01-22,FC_AUS_4,188137,22932
2018-01-22,FC_BRA_1,139817,21447
2018-01-22,FC_BRA_2,214177,35815
2018-01-22,FC_BRA_3,148198,16902
2018-01-22,FC_BRA_4,237778,33608
2018-01-22,FC_ZAF_1,213574,36829
2018-01-22,FC_ZAF_2,156599,22719
2018-01-22,FC_ZAF_3,222969,31091
2018-01-22,FC_ZAF_4,184738,34994
2018-01-29,FC_USA_1,230787,24007
2018-01-29,FC_USA_2,233540,45576
2018-01-29,FC_USA_3,147000,28961
2018-01-29,FC_USA_4,134012,19631
2018-01-29,FC_DEU_1,241475,47623
2018-01-29,FC_DEU_2,134912,20525
2018-01-29,FC_DEU_3,197511,33688
2018-01-29,FC_DEU_4,204265,26237
2018-01-29,FC_FRA_1,232937,36921
2018-01-29,FC_FRA_2,233941,34089
2018-01-29,FC_FRA_3,191809,24431
2018-01-29,FC_FRA_4,203253,28041
2018-01-29,FC_KOR_1,135904,16674
2018-01-29,FC_KOR_2,129205,24045
2018-01-29,FC_KOR_3,123457,23083
2018-01-29,FC_KOR_4,213673,33496
2018-01-29,FC_JPN_1,205396,26201
2018-01-29,FC_JPN_2,172881,26778
2018-01-29,FC_JPN_3,157048,17528
2018-01-29,FC_JPN_4,239448,27773
2018-01-29,FC_GBR_1,134689,20237
2018-01-29,FC_GBR_2,140022,20291
2018-01-29,FC_GBR_3,249397,47540
2018-01-29,FC_GBR_4,173997,22834
2018-01-29,FC_CAN_1,207413,37070
2018-01-29,FC_CAN_2,210602,40857
2018-01-29,FC_CAN_3,121603,20215
2018-01-29,FC_CAN_4,226750,33810
2018-01-29,FC_AUS_1,129974,16615
2018-01-29,FC_AUS_2,192979,33668
2018-01-29,FC_AUS_3,129824,18328
2018-01-29,FC_AUS_4,182769,28608
2018-01-29,FC_BRA_1,131211,22567
2018-01-29,FC_BRA_2,149753,22227
2018-01-29,FC_BRA_3,246959,38795
2018-01-29,FC_BRA_4,234686,36619
2018-01-29,FC_ZAF_1,206950,22894
2018-01-29,FC_ZAF_2,139826,17788
2018-01-29,FC_ZAF_3,167168,26125
2018-01-29,FC_ZAF_4,218492,42840
2018-02-05,FC_USA_1,149264,25883
2018-02-05,FC_USA_2,204512,35449
2018-02-05,FC_USA_3,221997,42665
2018-02-05,FC_USA_4,163792,30370
2018-02-05,FC_DEU_1,202668,35248
2018-02-05,FC_DEU_2,224922,43539
2018-02-05,FC_DEU_3,208910,28675
2018-02-05,FC_DEU_4,131574,25851
2018-02-05,FC_FRA_1,198869,23700
2018-02-05,FC_FRA_2,157587,16830
2018-02-05,FC_FRA_3,203996,40787
2018-02-05,FC_FRA_4,152598,27560
2018-02-05,FC_KOR_1,127936,15446
2018-02-05,FC_KOR_2,246359,26491
2018-02-05,FC_KOR_3,178291,30863
2018-02-05,FC_KOR_4,235172,36233
2018-02-05,FC_JPN_1,125632,13070
2018-02-05,FC_JPN_2,155153,27845
2018-02-05,FC_JPN_3,187540,20455
2018-02-05,FC_JPN_4,170971,27166
2018-02-05,FC_GBR_1,198683,28945
2018-02-05,FC_GBR_2,133127,20968
2018-02-05,FC_GBR_3,132751,21369
2018-02-05,FC_GBR_4,122703,22682
2018-02-05,FC_CAN_1,194767,26323
2018-02-05,FC_CAN_2,182709,33434
2018-02-05,FC_CAN_3,193580,32529
2018-02-05,FC_CAN_4,161513,24304
2018-02-05,FC_AUS_1,153407,26310
2018-02-05,FC_AUS_2,143520,18907
2018-02-05,FC_AUS_3,154137,17943
2018-02-05,FC_AUS_4,130873,14735
2018-02-05,FC_BRA_1,232881,42519
2018-02-05,FC_BRA_2,207528,36658
2018-02-05,FC_BRA_3,153986,23372
2018-02-05,FC_BRA_4,140272,18436
2018-02-05,FC_ZAF_1,245177,34908
2018-02-05,FC_ZAF_2,198448,35696
2018-02-05,FC_ZAF_3,230468,45650
2018-02-05,FC_ZAF_4,141132,21963
2018-02-12,FC_USA_1,238294,33367
2018-02-12,FC_USA_2,182175,25929
2018-02-12,FC_USA_3,210578,26710
2018-02-12,FC_USA_4,188289,19466
2018-02-12,FC_DEU_1,192531,28818
2018-02-12,FC_DEU_2,240811,40604
2018-02-12,FC_DEU_3,156110,28056
2018-02-12,FC_DEU_4,220065,26930
2018-02-12,FC_FRA_1,141502,16884
2018-02-12,FC_FRA_2,242970,30046
2018-02-12,FC_FRA_3,184365,34267
2018-02-12,FC_FRA_4,196242,34518
2018-02-12,FC_KOR_1,167883,30121
2018-02-12,FC_KOR_2,144448,22877
2018-02-12,FC_KOR_3,189262,30576
2018-02-12,FC_KOR_4,185820,35239
2018-02-12,FC_JPN_1,229018,34932
2018-02-12,FC_JPN_2,142557,14617
2018-02-12,FC_JPN_3,123423,17654
2018-02-12,FC_JPN_4,243695,25409
2018-02-12,FC_GBR_1,239261,47175
2018-02-12,FC_GBR_2,175718,26696
2018-02-12,FC_GBR_3,177307,34915
2018-02-12,FC_GBR_4,142752,23177
2018-02-12,FC_CAN_1,155141,16671
2018-02-12,FC_CAN_2,243740,24529
2018-02-12,FC_CAN_3,140492,17600
2018-02-12,FC_CAN_4,167670,19531
2018-02-12,FC_AUS_1,171367,19139
2018-02-12,FC_AUS_2,211132,30815
2018-02-12,FC_AUS_3,166188,23122
2018-02-12,FC_AUS_4,219771,40851
2018-02-12,FC_BRA_1,154364,25810
2018-02-12,FC_BRA_2,129329,18512
2018-02-12,FC_BRA_3,227650,28173
2018-02-12,FC_BRA_4,190806,36852
2018-02-12,FC_ZAF_1,137413,24447
2018-02-12,FC_ZAF_2,235752,45244
2018-02-12,FC_ZAF_3,179934,27468
2018-02-12,FC_ZAF_4,172884,27197
2018-02-19,FC_USA_1,128107,15214
2018-02-19,FC_USA_2,183099,18730
2018-02-19,FC_USA_3,213097,29073
2018-02-19,FC_USA_4,154234,20994
2018-02-19,FC_DEU_1,121562,22698
2018-02-19,FC_DEU_2,198222,25874
2018-02-19,FC_DEU_3,121886,17645
2018-02-19,FC_DEU_4,199413,21370
2018-02-19,FC_FRA_1,233243,33487
2018-02-19,FC_FRA_2,202606,21786
2018-02-19,FC_FRA_3,179857,30772
2018-02-19,FC_FRA_4,153163,28016
2018-02-19,FC_KOR_1,176375,24510
2018-02-19,FC_KOR_2,192758,28848
2018-02-19,FC_KOR_3,199837,33062
2018-02-19,FC_KOR_4,124169,24484
2018-02-19,FC_JPN_1,166462,22443
2018-02-19,FC_JPN_2,190795,30645
2018-02-19,FC_JPN_3,152229,29859
2018-02-19,FC_JPN_4,177402,24798
2018-02-19,FC_GBR_1,131052,20389
2018-02-19,FC_GBR_2,218469,25118
2018-02-19,FC_GBR_3,163736,30959
2018-02-19,FC_GBR_4,212584,24611
2018-02-19,FC_CAN_1,189134,25673
2018-02-19,FC_CAN_2,120088,15253
2018-02-19,FC_CAN_3,133924,18628
2018-02-19,FC_CAN_4,243692,32932
2018-02-19,FC_AUS_1,164602,19406
2018-02-19,FC_AUS_2,185147,22726
2018-02-19,FC_AUS_3,127685,18698
2018-02-19,FC_AUS_4,190722,27983
2018-02-19,FC_BRA_1,210052,39855
2018-02-19,FC_BRA_2,168088,30986
2018-02-19,FC_BRA_3,249339,42542
2018-02-19,FC_BRA_4,179818,19502
2018-02-19,FC_ZAF_1,176822,22675
2018-02-19,FC_ZAF_2,215452,34961
2018-02-19,FC_ZAF_3,215111,40119
2018-02-19,FC_ZAF_4,150878,25919
2018-02-26,FC_USA_1,193009,30358
2018-02-26,FC_USA_2,247277,33679
2018-02-26,FC_USA_3,170040,24452
2018-02-26,FC_USA_4,214562,34588
2018-02-26,FC_DEU_1,246074,47218
2018-02-26,FC_DEU_2,190478,22243
2018-02-26,FC_DEU_3,243914,40678
2018-02-26,FC_DEU_4,138161,23182
2018-02-26,FC_FRA_1,202273,36178
2018-02-26,FC_FRA_2,189092,28281
2018-02-26,FC_FRA_3,200783,30212
2018-02-26,FC_FRA_4,220499,29298
2018-02-26,FC_KOR_1,195060,32999
2018-02-26,FC_KOR_2,173317,22135
2018-02-26,FC_KOR_3,176040,33155
2018-02-26,FC_KOR_4,166760,25528
2018-02-26,FC_JPN_1,157064,28308
2018-02-26,FC_JPN_2,139641,20172
2018-02-26,FC_JPN_3,164346,18202
2018-02-26,FC_JPN_4,140060,19701
2018-02-26,FC_GBR_1,166914,33373
2018-02-26,FC_GBR_2,156818,28647
2018-02-26,FC_GBR_3,205817,32258
2018-02-26,FC_GBR_4,143778,23848
2018-02-26,FC_CAN_1,209160,34461
2018-02-26,FC_CAN_2,120938,12674
2018-02-26,FC_CAN_3,196546,30521
2018-02-26,FC_CAN_4,167043,18731
2018-02-26,FC_AUS_1,144007,23950
2018-02-26,FC_AUS_2,190073,37335
2018-02-26,FC_AUS_3,176303,17802
2018-02-26,FC_AUS_4,144835,18993
2018-02-26,FC_BRA_1,226205,42901
2018-02-26,FC_BRA_2,222095,27706
2018-02-26,FC_BRA_3,198304,24219
2018-02-26,FC_BRA_4,230783,33098
2018-02-26,FC_ZAF_1,166849,24230
2018-02-26,FC_ZAF_2,191992,33120
2018-02-26,FC_ZAF_3,186753,24708
2018-02-26,FC_ZAF_4,241139,31278
2018-03-05,FC_USA_1,196366,25082
2018-03-05,FC_USA_2,149145,24674
2018-03-05,FC_USA_3,245189,42978
2018-03-05,FC_USA_4,128947,23568
2018-03-05,FC_DEU_1,183384,23915
2018-03-05,FC_DEU_2,201432,22101
2018-03-05,FC_DEU_3,214734,29991
2018-03-05,FC_DEU_4,154036,30600
2018-03-05,FC_FRA_1,163709,27556
2018-03-05,FC_FRA_2,230033,31978
2018-03-05,FC_FRA_3,173042,18570
2018-03-05,FC_FRA_4,130762,20704
2018-03-05,FC_KOR_1,226404,27480
2018-03-05,FC_KOR_2,202648,34953
2018-03-05,FC_KOR_3,192163,19332
2018-03-05,FC_KOR_4,142823,25052
2018-03-05,FC_JPN_1,153907,23735
2018-03-05,FC_JPN_2,192673,29677
2018-03-05,FC_JPN_3,218549,36451
2018-03-05,FC_JPN_4,162241,21383
2018-03-05,FC_GBR_1,179265,32367
2018-03-05,FC_GBR_2,187138,22740
2018-03-05,FC_GBR_3,197820,35508
2018-03-05,FC_GBR_4,165265,28952
2018-03-05,FC_CAN_1,242405,26810
2018-03-05,FC_CAN_2,179908,19537
2018-03-05,FC_CAN_3,175919,34963
2018-03-05,FC_CAN_4,195120,27857
2018-03-05,FC_AUS_1,238971,39852
2018-03-05,FC_AUS_2,153574,26467
2018-03-05,FC_AUS_3,131274,14697
2018-03-05,FC_AUS_4,126454,17501
2018-03-05,FC_BRA_1,155256,24260
2018-03-05,FC_BRA_2,218409,27128
2018-03-05,FC_BRA_3,173006,19639
2018-03-05,FC_BRA_4,189966,28737
2018-03-05,FC_ZAF_1,161002,27775
2018-03-05,FC_ZAF_2,151413,17511
2018-03-05,FC_ZAF_3,141855,25523
2018-03-05,FC_ZAF_4,131235,18570
2018-03-12,FC_USA_1,140934,24987
2018-03-12,FC_USA_2,145697,20524
2018-03-12,FC_USA_3,194624,27263
2018-03-12,FC_USA_4,168626,23836
2018-03-12,FC_DEU_1,224816,36198
2018-03-12,FC_DEU_2,125236,21978
2018-03-12,FC_DEU_3,211873,35906
2018-03-12,FC_DEU_4,228751,43529
2018-03-12,FC_FRA_1,166512,23441
2018-03-12,FC_FRA_2,195216,37024
2018-03-12,FC_FRA_3,227868,40068
2018-03-12,FC_FRA_4,243285,28185
2018-03-12,FC_KOR_1,196730,27410
2018-03-12,FC_KOR_2,196022,28874
2018-03-12,FC_KOR_3,145065,23294
2018-03-12,FC_KOR_4,244728,40688
2018-03-12,FC_JPN_1,169708,32463
2018-03-12,FC_JPN_2,201726,31365
2018-03-12,FC_JPN_3,219568,24568
2018-03-12,FC_JPN_4,248141,43333
2018-03-12,FC_GBR_1,153582,21570
2018-03-12,FC_GBR_2,142164,26844
2018-03-12,FC_GBR_3,189323,30055
2018-03-12,FC_GBR_4,127071,22182
2018-03-12,FC_CAN_1,186714,22559
2018-03-12,FC_CAN_2,145723,19746
2018-03-12,FC_CAN_3,164872,31778
2018-03-12,FC_CAN_4,189430,26066
2018-03-12,FC_AUS_1,202385,28997
2018-03-12,FC_AUS_2,129969,14184
2018-03-12,FC_AUS_3,230865,41458
2018-03-12,FC_AUS_4,176121,18510
2018-03-12,FC_BRA_1,144813,23215
2018-03-12,FC_BRA_2,219873,40981
2018-03-12,FC_BRA_3,131366,21115
2018-03-12,FC_BRA_4,161957,18070
2018-03-12,FC_ZAF_1,158502,28427
2018-03-12,FC_ZAF_2,150085,24915
2018-03-12,FC_ZAF_3,166052,26225
2018-03-12,FC_ZAF_4,210523,31253
2018-03-19,FC_USA_1,161950,21820
2018-03-19,FC_USA_2,185886,29290
2018-03-19,FC_USA_3,245385,28544
2018-03-19,FC_USA_4,180390,26441
2018-03-19,FC_DEU_1,132357,25589
2018-03-19,FC_DEU_2,180723,30059
2018-03-19,FC_DEU_3,155656,15605
2018-03-19,FC_DEU_4,141165,21972
2018-03-19,FC_FRA_1,208678,37621
2018-03-19,FC_FRA_2,145512,24584
2018-03-19,FC_FRA_3,176071,17662
2018-03-19,FC_FRA_4,215793,36831
2018-03-19,FC_KOR_1,137634,23941
2018-03-19,FC_KOR_2,211221,32651
2018-03-19,FC_KOR_3,154784,23773
2018-03-19,FC_KOR_4,233139,32812
2018-03-19,FC_JPN_1,200430,33166
2018-03-19,FC_JPN_2,147732,20841
2018-03-19,FC_JPN_3,172129,19635
2018-03-19,FC_JPN_4,185015,33516
2018-03-19,FC_GBR_1,130303,14678
2018-03-19,FC_GBR_2,223240,26703
2018-03-19,FC_GBR_3,195565,22411
2018-03-19,FC_GBR_4,203024,26932
2018-03-19,FC_CAN_1,218751,36952
2018-03-19,FC_CAN_2,187721,28405
2018-03-19,FC_CAN_3,241214,26285
2018-03-19,FC_CAN_4,235858,43343
2018-03-19,FC_AUS_1,182950,24836
2018-03-19,FC_AUS_2,218132,38206
2018-03-19,FC_AUS_3,214647,38487
2018-03-19,FC_AUS_4,126124,19461
2018-03-19,FC_BRA_1,159332,26392
2018-03-19,FC_BRA_2,248331,41061
2018-03-19,FC_BRA_3,219498,27990
2018-03-19,FC_BRA_4,221906,37123
2018-03-19,FC_ZAF_1,211712,30496
2018-03-19,FC_ZAF_2,219930,23630
2018-03-19,FC_ZAF_3,207841,39495
2018-03-19,FC_ZAF_4,127583,23614
2018-03-26,FC_USA_1,222646,24558
2018-03-26,FC_USA_2,184022,20954
2018-03-26,FC_USA_3,131842,14125
2018-03-26,FC_USA_4,173261,20792
2018-03-26,FC_DEU_1,202719,40327
2018-03-26,FC_DEU_2,135257,16869
2018-03-26,FC_DEU_3,248016,39947
2018-03-26,FC_DEU_4,156300,20124
2018-03-26,FC_FRA_1,175831,19252
2018-03-26,FC_FRA_2,243461,47857
2018-03-26,FC_FRA_3,232977,28627
2018-03-26,FC_FRA_4,239698,45265
2018-03-26,FC_KOR_1,137960,18402
2018-03-26,FC_KOR_2,159490,27500
2018-03-26,FC_KOR_3,180601,32561
2018-03-26,FC_KOR_4,175094,29768
2018-03-26,FC_JPN_1,189105,30411
2018-03-26,FC_JPN_2,209887,31900
2018-03-26,FC_JPN_3,162921,18112
2018-03-26,FC_JPN_4,247093,46589
2018-03-26,FC_GBR_1,211849,34126
2018-03-26,FC_GBR_2,142719,15356
2018-03-26,FC_GBR_3,221274,37857
2018-03-26,FC_GBR_4,234385,25339
2018-03-26,FC_CAN_1,230330,24935
2018-03-26,FC_CAN_2,121020,23040
2018-03-26,FC_CAN_3,163215,31830
2018-03-26,FC_CAN_4,193363,32462
2018-03-26,FC_AUS_1,167135,31413
2018-03-26,FC_AUS_2,144425,25402
2018-03-26,FC_AUS_3,120929,15529
2018-03-26,FC_AUS_4,161663,21698
2018-03-26,FC_BRA_1,147664,18006
2018-03-26,FC_BRA_2,233439,27750
2018-03-26,FC_BRA_3,176724,33690
2018-03-26,FC_BRA_4,147634,27527
2018-03-26,FC_ZAF_1,171538,23746
2018-03-26,FC_ZAF_2,241476,45495
2018-03-26,FC_ZAF_3,174266,34389
2018-03-26,FC_ZAF_4,158905,21902
2018-04-02,FC_USA_1,216449,33271
2018-04-02,FC_USA_2,236791,25137
2018-04-02,FC_USA_3,150589,27674
2018-04-02,FC_USA_4,198232,32270
2018-04-02,FC_DEU_1,157815,28138
2018-04-02,FC_DEU_2,132094,18539
2018-04-02,FC_DEU_3,164988,23215
2018-04-02,FC_DEU_4,171169,21741
2018-04-02,FC_FRA_1,139942,15256
2018-04-02,FC_FRA_2,231242,27140
2018-04-02,FC_FRA_3,121700,22317
2018-04-02,FC_FRA_4,247670,25777
2018-04-02,FC_KOR_1,212842,30942
2018-04-02,FC_KOR_2,120242,21438
2018-04-02,FC_KOR_3,189758,32500
2018-04-02,FC_KOR_4,232683,36101
2018-04-02,FC_JPN_1,247558,49349
2018-04-02,FC_JPN_2,190986,27101
2018-04-02,FC_JPN_3,220236,38625
2018-04-02,FC_JPN_4,248305,39170
2018-04-02,FC_GBR_1,182056,34359
2018-04-02,FC_GBR_2,144851,20154
2018-04-02,FC_GBR_3,218540,42167
2018-04-02,FC_GBR_4,144558,21102
2018-04-02,FC_CAN_1,210236,21421
2018-04-02,FC_CAN_2,178945,25824
2018-04-02,FC_CAN_3,170375,22148
2018-04-02,FC_CAN_4,171328,17547
2018-04-02,FC_AUS_1,169542,29599
2018-04-02,FC_AUS_2,151511,24169
2018-04-02,FC_AUS_3,128355,22212
2018-04-02,FC_AUS_4,232289,36479
2018-04-02,FC_BRA_1,189472,24851
2018-04-02,FC_BRA_2,237676,39346
2018-04-02,FC_BRA_3,240393,29466
2018-04-02,FC_BRA_4,132347,24184
2018-04-02,FC_ZAF_1,240011,29564
2018-04-02,FC_ZAF_2,192415,31412
2018-04-02,FC_ZAF_3,146213,23416
2018-04-02,FC_ZAF_4,208444,21826
2018-04-09,FC_USA_1,185206,34247
2018-04-09,FC_USA_2,179684,27304
2018-04-09,FC_USA_3,152491,27047
2018-04-09,FC_USA_4,178088,21866
2018-04-09,FC_DEU_1,239287,34500
2018-04-09,FC_DEU_2,165296,19211
2018-04-09,FC_DEU_3,200520,32075
2018-04-09,FC_DEU_4,171767,32779
2018-04-09,FC_FRA_1,145663,26432
2018-04-09,FC_FRA_2,202361,39600
2018-04-09,FC_FRA_3,228283,43392
2018-04-09,FC_FRA_4,227792,24235
2018-04-09,FC_KOR_1,190750,20671
2018-04-09,FC_KOR_2,233962,42968
2018-04-09,FC_KOR_3,197180,21963
2018-04-09,FC_KOR_4,219776,26524
2018-04-09,FC_JPN_1,170757,27459
2018-04-09,FC_JPN_2,185795,19796
2018-04-09,FC_JPN_3,246330,44202
2018-04-09,FC_JPN_4,166991,18597
2018-04-09,FC_GBR_1,156007,23570
2018-04-09,FC_GBR_2,225730,39420
2018-04-09,FC_GBR_3,134079,19480
2018-04-09,FC_GBR_4,143900,19558
2018-04-09,FC_CAN_1,127550,17918
2018-04-09,FC_CAN_2,161897,23911
2018-04-09,FC_CAN_3,245553,41212
2018-04-09,FC_CAN_4,208007,27816
2018-04-09,FC_AUS_1,143179,17062
2018-04-09,FC_AUS_2,207248,31372
2018-04-09,FC_AUS_3,224785,36265
2018-04-09,FC_AUS_4,172756,19291
2018-04-09,FC_BRA_1,130693,15687
2018-04-09,FC_BRA_2,235791,42993
2018-04-09,FC_BRA_3,163397,21288
2018-04-09,FC_BRA_4,135120,19587
2018-04-09,FC_ZAF_1,147329,24910
2018-04-09,FC_ZAF_2,120473,19408
2018-04-09,FC_ZAF_3,176604,24450
2018-04-09,FC_ZAF_4,217624,23325
2018-04-16,FC_USA_1,234892,41816
2018-04-16,FC_USA_2,120568,18348
2018-04-16,FC_USA_3,141062,23715
2018-04-16,FC_USA_4,155604,23897
2018-04-16,FC_DEU_1,238922,43607
2018-04-16,FC_DEU_2,199831,22853
2018-04-16,FC_DEU_3,213568,34222
2018-04-16,FC_DEU_4,238181,30280
2018-04-16,FC_FRA_1,153498,19564
2018-04-16,FC_FRA_2,133855,17142
2018-04-16,FC_FRA_3,217525,31051
2018-04-16,FC_FRA_4,243718,34775
2018-04-16,FC_KOR_1,245960,28837
2018-04-16,FC_KOR_2,240936,38238
2018-04-16,FC_KOR_3,214984,21774
2018-04-16,FC_KOR_4,126869,15675
2018-04-16,FC_JPN_1,132441,21448
2018-04-16,FC_JPN_2,164017,17975
2018-04-16,FC_JPN_3,231670,41760
2018-04-16,FC_JPN_4,227740,31477
2018-04-16,FC_GBR_1,219636,40669
2018-04-16,FC_GBR_2,122657,18691
2018-04-16,FC_GBR_3,203046,25088
2018-04-16,FC_GBR_4,208264,21398
2018-04-16,FC_CAN_1,247118,25443
2018-04-16,FC_CAN_2,193582,37283
2018-04-16,FC_CAN_3,159442,28033
2018-04-16,FC_CAN_4,210809,22978
2018-04-16,FC_AUS_1,167987,20214
2018-04-16,FC_AUS_2,138680,19306
2018-04-16,FC_AUS_3,233792,37318
2018-04-16,FC_AUS_4,143223,20350
2018-04-16,FC_BRA_1,225777,23727
2018-04-16,FC_BRA_2,240547,43774
