date,country,season
2018-01-08,DEU,Winter
2018-01-08,FRA,Winter
2018-01-08,KOR,Winter
2018-01-08,JPN,Winter
2018-01-08,GBR,Winter
2018-01-08,CAN,Winter
2018-01-08,AUS,Summer
2018-01-08,BRA,Summer
2018-01-08,ZAF,Summer
2018-01-09,USA,Winter
2018-01-09,DEU,Winter
2018-01-09,FRA,Winter
2018-01-09,KOR,Winter
2018-01-09,JPN,Winter
2018-01-09,GBR,Winter
2018-01-09,CAN,Winter
2018-01-09,AUS,Summer
2018-01-09,BRA,Summer
2018-01-09,ZAF,Summer
2018-01-10,USA,Winter
2018-01-10,DEU,Winter
2018-01-10,FRA,Winter
2018-01-10,KOR,Winter
2018-01-10,JPN,Winter
2018-01-10,GBR,Winter
2018-01-10,CAN,Winter
2018-01-10,AUS,Summer
2018-01-10,BRA,Summer
2018-01-10,ZAF,Summer
2018-01-11,USA,Winter
2018-01-11,DEU,Winter
2018-01-11,FRA,Winter
2018-01-11,KOR,Winter
2018-01-11,JPN,Winter
2018-01-11,GBR,Winter
2018-01-11,CAN,Winter
2018-01-11,AUS,Summer
2018-01-11,BRA,Summer
2018-01-11,ZAF,Summer
2018-01-12,USA,Winter
2018-01-12,DEU,Winter
2018-01-12,FRA,Winter
2018-01-12,KOR,Winter
2018-01-12,JPN,Winter
2018-01-12,GBR,Winter
2018-01-12,CAN,Winter
2018-01-12,AUS,Summer
2018-01-12,BRA,Summer
2018-01-12,ZAF,Summer
2018-01-13,USA,Winter
2018-01-13,DEU,Winter
2018-01-13,FRA,Winter
2018-01-13,KOR,Winter
2018-01-13,JPN,Winter
2018-01-13,GBR,Winter
2018-01-13,CAN,Winter
2018-01-13,AUS,Summer
2018-01-13,BRA,Summer
2018-01-13,ZAF,Summer
2018-01-14,USA,Winter
2018-01-14,DEU,Winter
2018-01-14,FRA,Winter
2018-01-14,KOR,Winter
2018-01-14,JPN,Winter
2018-01-14,GBR,Winter
2018-01-14,CAN,Winter
2018-01-14,AUS,Summer
2018-01-14,BRA,Summer
2018-01-14,ZAF,Summer
2018-01-15,USA,Winter
2018-01-15,DEU,Winter
2018-01-15,FRA,Winter
2018-01-15,KOR,Winter
2018-01-15,JPN,Winter
2018-01-15,GBR,Winter
2018-01-15,CAN,Winter
2018-01-15,AUS,Summer
2018-01-15,BRA,Summer
2018-01-15,ZAF,Summer
2018-01-16,USA,Winter
2018-01-16,DEU,Winter
2018-01-16,FRA,Winter
2018-01-16,KOR,Winter
2018-01-16,JPN,Winter
2018-01-16,GBR,Winter
2018-01-16,CAN,Winter
2018-01-16,AUS,Summer
2018-01-16,BRA,Summer
2018-01-16,ZAF,Summer
2018-01-17,USA,Winter
2018-01-17,DEU,Winter
2018-01-17,FRA,Winter
2018-01-17,KOR,Winter
2018-01-17,JPN,Winter
2018-01-17,GBR,Winter
2018-01-17,CAN,Winter
2018-01-17,AUS,Summer
2018-01-17,BRA,Summer
2018-01-17,ZAF,Summer
2018-01-18,USA,Winter
2018-01-18,DEU,Winter
2018-01-18,FRA,Winter
2018-01-18,KOR,Winter
2018-01-18,JPN,Winter
2018-01-18,GBR,Winter
2018-01-18,CAN,Winter
2018-01-18,AUS,Summer
2018-01-18,BRA,Summer
2018-01-18,ZAF,Summer
2018-01-19,USA,Winter
2018-01-19,DEU,Winter
2018-01-19,FRA,Winter
2018-01-19,KOR,Winter
2018-01-19,JPN,Winter
2018-01-19,GBR,Winter
2018-01-19,CAN,Winter
2018-01-19,AUS,Summer
2018-01-19,BRA,Summer
2018-01-19,ZAF,Summer
2018-01-20,USA,Winter
2018-01-20,DEU,Winter
2018-01-20,FRA,Winter
2018-01-20,KOR,Winter
2018-01-20,JPN,Winter
2018-01-20,GBR,Winter
2018-01-20,CAN,Winter
2018-01-20,AUS,Summer
2018-01-20,BRA,Summer
2018-01-20,ZAF,Summer
2018-01-21,USA,Winter
2018-01-21,DEU,Winter
2018-01-21,FRA,Winter
2018-01-21,KOR,Winter
2018-01-21,JPN,Winter
2018-01-21,GBR,Winter
2018-01-21,CAN,Winter
2018-01-21,AUS,Summer
2018-01-21,BRA,Summer
2018-01-21,ZAF,Summer
2018-01-22,USA,Winter
2018-01-22,DEU,Winter
2018-01-22,FRA,Winter
2018-01-22,KOR,Winter
2018-01-22,JPN,Winter
2018-01-22,GBR,Winter
2018-01-22,CAN,Winter
2018-01-22,AUS,Summer
2018-01-22,BRA,Summer
2018-01-22,ZAF,Summer
2018-01-23,USA,Winter
2018-01-23,DEU,Winter
2018-01-23,FRA,Winter
2018-01-23,KOR,Winter
2018-01-23,JPN,Winter
2018-01-23,GBR,Winter
2018-01-23,CAN,Winter
2018-01-23,AUS,Summer
2018-01-23,BRA,Summer
2018-01-23,ZAF,Summer
2018-01-24,USA,Winter
2018-01-24,DEU,Winter
2018-01-24,FRA,Winter
2018-01-24,KOR,Winter
2018-01-24,JPN,Winter
2018-01-24,GBR,Winter
2018-01-24,CAN,Winter
2018-01-24,AUS,Summer
2018-01-24,BRA,Summer
2018-01-24,ZAF,Summer
2018-01-25,USA,Winter
2018-01-25,DEU,Winter
2018-01-25,FRA,Winter
2018-01-25,KOR,Winter
2018-01-25,JPN,Winter
2018-01-25,GBR,Winter
2018-01-25,CAN,Winter
2018-01-25,AUS,Summer
2018-01-25,BRA,Summer
2018-01-25,ZAF,Summer
2018-01-26,USA,Winter
2018-01-26,DEU,Winter
2018-01-26,FRA,Winter
2018-01-26,KOR,Winter
2018-01-26,JPN,Winter
2018-01-26,GBR,Winter
2018-01-26,CAN,Winter
2018-01-26,AUS,Summer
2018-01-26,BRA,Summer
2018-01-26,ZAF,Summer
2018-01-27,USA,Winter
2018-01-27,DEU,Winter
2018-01-27,FRA,Winter
2018-01-27,KOR,Winter
2018-01-27,JPN,Winter
2018-01-27,GBR,Winter
2018-01-27,CAN,Winter
2018-01-27,AUS,Summer
2018-01-27,BRA,Summer
2018-01-27,ZAF,Summer
2018-01-28,USA,Winter
2018-01-28,DEU,Winter
2018-01-28,FRA,Winter
2018-01-28,KOR,Winter
2018-01-28,JPN,Winter
2018-01-28,GBR,Winter
2018-01-28,CAN,Winter
2018-01-28,AUS,Summer
2018-01-28,BRA,Summer
2018-01-28,ZAF,Summer
2018-01-29,USA,Winter
2018-01-29,DEU,Winter
2018-01-29,FRA,Winter
2018-01-29,KOR,Winter
2018-01-29,JPN,Winter
2018-01-29,GBR,Winter
2018-01-29,CAN,Winter
2018-01-29,AUS,Summer
2018-01-29,BRA,Summer
2018-01-29,ZAF,Summer
2018-01-30,USA,Winter
2018-01-30,DEU,Winter
2018-01-30,FRA,Winter
2018-01-30,KOR,Winter
2018-01-30,JPN,Winter
2018-01-30,GBR,Winter
2018-01-30,CAN,Winter
2018-01-30,AUS,Summer
2018-01-30,BRA,Summer
2018-01-30,ZAF,Summer
2018-01-31,USA,Winter
2018-01-31,DEU,Winter
2018-01-31,FRA,Winter
2018-01-31,KOR,Winter
2018-01-31,JPN,Winter
2018-01-31,GBR,Winter
2018-01-31,CAN,Winter
2018-01-31,AUS,Summer
2018-01-31,BRA,Summer
2018-01-31,ZAF,Summer
2018-02-01,USA,Winter
2018-02-01,DEU,Winter
2018-02-01,FRA,Winter
2018-02-01,KOR,Winter
2018-02-01,JPN,Winter
2018-02-01,GBR,Winter
2018-02-01,CAN,Winter
2018-02-01,AUS,Summer
2018-02-01,BRA,Summer
2018-02-01,ZAF,Summer
2018-02-02,USA,Winter
2018-02-02,DEU,Winter
2018-02-02,FRA,Winter
2018-02-02,KOR,Winter
2018-02-02,JPN,Winter
2018-02-02,GBR,Winter
2018-02-02,CAN,Winter
2018-02-02,AUS,Summer
2018-02-02,BRA,Summer
2018-02-02,ZAF,Summer
2018-02-03,USA,Winter
2018-02-03,DEU,Winter
2018-02-03,FRA,Winter
2018-02-03,KOR,Winter
2018-02-03,JPN,Winter
2018-02-03,GBR,Winter
2018-02-03,CAN,Winter
2018-02-03,AUS,Summer
2018-02-03,BRA,Summer
2018-02-03,ZAF,Summer
2018-02-04,USA,Winter
2018-02-04,DEU,Winter
2018-02-04,FRA,Winter
2018-02-04,KOR,Winter
2018-02-04,JPN,Winter
2018-02-04,GBR,Winter
2018-02-04,CAN,Winter
2018-02-04,AUS,Summer
2018-02-04,BRA,Summer
2018-02-04,ZAF,Summer
2018-02-05,USA,Winter
2018-02-05,DEU,Winter
2018-02-05,FRA,Winter
2018-02-05,KOR,Winter
2018-02-05,JPN,Winter
2018-02-05,GBR,Winter
2018-02-05,CAN,Winter
2018-02-05,AUS,Summer
2018-02-05,BRA,Summer
2018-02-05,ZAF,Summer
2018-02-06,USA,Winter
2018-02-06,DEU,Winter
2018-02-06,FRA,Winter
2018-02-06,KOR,Winter
2018-02-06,JPN,Winter
2018-02-06,GBR,Winter
2018-02-06,CAN,Winter
2018-02-06,AUS,Summer
2018-02-06,BRA,Summer
2018-02-06,ZAF,Summer
2018-02-07,USA,Winter
2018-02-07,DEU,Winter
2018-02-07,FRA,Winter
2018-02-07,KOR,Winter
2018-02-07,JPN,Winter
2018-02-07,GBR,Winter
2018-02-07,CAN,Winter
2018-02-07,AUS,Summer
2018-02-07,BRA,Summer
2018-02-07,ZAF,Summer
2018-02-08,USA,Winter
2018-02-08,DEU,Winter
2018-02-08,FRA,Winter
2018-02-08,KOR,Winter
2018-02-08,JPN,Winter
2018-02-08,GBR,Winter
2018-02-08,CAN,Winter
2018-02-08,AUS,Summer
2018-02-08,BRA,Summer
2018-02-08,ZAF,Summer
2018-02-09,USA,Winter
2018-02-09,DEU,Winter
2018-02-09,FRA,Winter
2018-02-09,KOR,Winter
2018-02-09,JPN,Winter
2018-02-09,GBR,Winter
2018-02-09,CAN,Winter
2018-02-09,AUS,Summer
2018-02-09,BRA,Summer
2018-02-09,ZAF,Summer
2018-02-10,USA,Winter
2018-02-10,DEU,Winter
2018-02-10,FRA,Winter
2018-02-10,KOR,Winter
2018-02-10,JPN,Winter
2018-02-10,GBR,Winter
2018-02-10,CAN,Winter
2018-02-10,AUS,Summer
2018-02-10,BRA,Summer
2018-02-10,ZAF,Summer
2018-02-11,USA,Winter
2018-02-11,DEU,Winter
2018-02-11,FRA,Winter
2018-02-11,KOR,Winter
2018-02-11,JPN,Winter
2018-02-11,GBR,Winter
2018-02-11,CAN,Winter
2018-02-11,AUS,Summer
2018-02-11,BRA,Summer
2018-02-11,ZAF,Summer
2018-02-12,USA,Winter
2018-02-12,DEU,Winter
2018-02-12,FRA,Winter
2018-02-12,KOR,Winter
2018-02-12,JPN,Winter
2018-02-12,GBR,Winter
2018-02-12,CAN,Winter
2018-02-12,AUS,Summer
2018-02-12,BRA,Summer
2018-02-12,ZAF,Summer
2018-02-13,USA,Winter
2018-02-13,DEU,Winter
2018-02-13,FRA,Winter
2018-02-13,KOR,Winter
2018-02-13,JPN,Winter
2018-02-13,GBR,Winter
2018-02-13,CAN,Winter
2018-02-13,AUS,Summer
2018-02-13,BRA,Summer
2018-02-13,ZAF,Summer
2018-02-14,USA,Winter
2018-02-14,DEU,Winter
2018-02-14,FRA,Winter
2018-02-14,KOR,Winter
2018-02-14,JPN,Winter
2018-02-14,GBR,Winter
2018-02-14,CAN,Winter
2018-02-14,AUS,Summer
2018-02-14,BRA,Summer
2018-02-14,ZAF,Summer
2018-02-15,USA,Winter
2018-02-15,DEU,Winter
2018-02-15,FRA,Winter
2018-02-15,KOR,Winter
2018-02-15,JPN,Winter
2018-02-15,GBR,Winter
2018-02-15,CAN,Winter
2018-02-15,AUS,Summer
2018-02-15,BRA,Summer
2018-02-15,ZAF,Summer
2018-02-16,USA,Winter
2018-02-16,DEU,Winter
2018-02-16,FRA,Winter
2018-02-16,KOR,Winter
2018-02-16,JPN,Winter
2018-02-16,GBR,Winter
2018-02-16,CAN,Winter
2018-02-16,AUS,Summer
2018-02-16,BRA,Summer
2018-02-16,ZAF,Summer
2018-02-17,USA,Winter
2018-02-17,DEU,Winter
2018-02-17,FRA,Winter
2018-02-17,KOR,Winter
2018-02-17,JPN,Winter
2018-02-17,GBR,Winter
2018-02-17,CAN,Winter
2018-02-17,AUS,Summer
2018-02-17,BRA,Summer
2018-02-17,ZAF,Summer
2018-02-18,USA,Winter
2018-02-18,DEU,Winter
2018-02-18,FRA,Winter
2018-02-18,KOR,Winter
2018-02-18,JPN,Winter
2018-02-18,GBR,Winter
2018-02-18,CAN,Winter
2018-02-18,AUS,Summer
2018-02-18,BRA,Summer
2018-02-18,ZAF,Summer
2018-02-19,USA,Winter
2018-02-19,DEU,Winter
2018-02-19,FRA,Winter
2018-02-19,KOR,Winter
2018-02-19,JPN,Winter
2018-02-19,GBR,Winter
2018-02-19,CAN,Winter
2018-02-19,AUS,Summer
2018-02-19,BRA,Summer
2018-02-19,ZAF,Summer
2018-02-20,USA,Winter
2018-02-20,DEU,Winter
2018-02-20,FRA,Winter
2018-02-20,KOR,Winter
2018-02-20,JPN,Winter
2018-02-20,GBR,Winter
2018-02-20,CAN,Winter
2018-02-20,AUS,Summer
2018-02-20,BRA,Summer
2018-02-20,ZAF,Summer
2018-02-21,USA,Winter
2018-02-21,DEU,Winter
2018-02-21,FRA,Winter
2018-02-21,KOR,Winter
2018-02-21,JPN,Winter
2018-02-21,GBR,Winter
2018-02-21,CAN,Winter
2018-02-21,AUS,Summer
2018-02-21,BRA,Summer
2018-02-21,ZAF,Summer
2018-02-22,USA,Winter
2018-02-22,DEU,Winter
2018-02-22,FRA,Winter
2018-02-22,KOR,Winter
2018-02-22,JPN,Winter
2018-02-22,GBR,Winter
2018-02-22,CAN,Winter
2018-02-22,AUS,Summer
2018-02-22,BRA,Summer
2018-02-22,ZAF,Summer
2018-02-23,USA,Winter
2018-02-23,DEU,Winter
2018-02-23,FRA,Winter
2018-02-23,KOR,Winter
2018-02-23,JPN,Winter
2018-02-23,GBR,Winter
2018-02-23,CAN,Winter
2018-02-23,AUS,Summer
2018-02-23,BRA,Summer
2018-02-23,ZAF,Summer
2018-02-24,USA,Winter
2018-02-24,DEU,Winter
2018-02-24,FRA,Winter
2018-02-24,KOR,Winter
2018-02-24,JPN,Winter
2018-02-24,GBR,Winter
2018-02-24,CAN,Winter
2018-02-24,AUS,Summer
2018-02-24,BRA,Summer
2018-02-24,ZAF,Summer
2018-02-25,USA,Winter
2018-02-25,DEU,Winter
2018-02-25,FRA,Winter
2018-02-25,KOR,Winter
2018-02-25,JPN,Winter
2018-02-25,GBR,Winter
2018-02-25,CAN,Winter
2018-02-25,AUS,Summer
2018-02-25,BRA,Summer
2018-02-25,ZAF,Summer
2018-02-26,USA,Winter
2018-02-26,DEU,Winter
2018-02-26,FRA,Winter
2018-02-26,KOR,Winter
2018-02-26,JPN,Winter
2018-02-26,GBR,Winter
2018-02-26,CAN,Winter
2018-02-26,AUS,Summer
2018-02-26,BRA,Summer
2018-02-26,ZAF,Summer
2018-02-27,USA,Winter
2018-02-27,DEU,Winter
2018-02-27,FRA,Winter
2018-02-27,KOR,Winter
2018-02-27,JPN,Winter
2018-02-27,GBR,Winter
2018-02-27,CAN,Winter
2018-02-27,AUS,Summer
2018-02-27,BRA,Summer
2018-02-27,ZAF,Summer
2018-02-28,USA,Winter
2018-02-28,DEU,Winter
2018-02-28,FRA,Winter
2018-02-28,KOR,Winter
2018-02-28,JPN,Winter
2018-02-28,GBR,Winter
2018-02-28,CAN,Winter
2018-02-28,AUS,Summer
2018-02-28,BRA,Summer
2018-02-28,ZAF,Summer
2018-03-01,USA,Spring
2018-03-01,DEU,Spring
2018-03-01,FRA,Spring
2018-03-01,KOR,Spring
2018-03-01,JPN,Spring
2018-03-01,GBR,Spring
2018-03-01,CAN,Spring
2018-03-01,AUS,Fall
2018-03-01,BRA,Fall
2018-03-01,ZAF,Fall
2018-03-02,USA,Spring
2018-03-02,DEU,Spring
2018-03-02,FRA,Spring
2018-03-02,KOR,Spring
2018-03-02,JPN,Spring
2018-03-02,GBR,Spring
2018-03-02,CAN,Spring
2018-03-02,AUS,Fall
2018-03-02,BRA,Fall
2018-03-02,ZAF,Fall
2018-03-03,USA,Spring
2018-03-03,DEU,Spring
2018-03-03,FRA,Spring
2018-03-03,KOR,Spring
2018-03-03,JPN,Spring
2018-03-03,GBR,Spring
2018-03-03,CAN,Spring
2018-03-03,AUS,Fall
2018-03-03,BRA,Fall
2018-03-03,ZAF,Fall
2018-03-04,USA,Spring
2018-03-04,DEU,Spring
2018-03-04,FRA,Spring
2018-03-04,KOR,Spring
2018-03-04,JPN,Spring
2018-03-04,GBR,Spring
2018-03-04,CAN,Spring
2018-03-04,AUS,Fall
2018-03-04,BRA,Fall
2018-03-04,ZAF,Fall
2018-03-05,USA,Spring
2018-03-05,DEU,Spring
2018-03-05,FRA,Spring
2018-03-05,KOR,Spring
2018-03-05,JPN,Spring
2018-03-05,GBR,Spring
2018-03-05,CAN,Spring
2018-03-05,AUS,Fall
2018-03-05,BRA,Fall
2018-03-05,ZAF,Fall
2018-03-06,USA,Spring
2018-03-06,DEU,Spring
2018-03-06,FRA,Spring
2018-03-06,KOR,Spring
2018-03-06,JPN,Spring
2018-03-06,GBR,Spring
2018-03-06,CAN,Spring
2018-03-06,AUS,Fall
2018-03-06,BRA,Fall
2018-03-06,ZAF,Fall
2018-03-07,USA,Spring
2018-03-07,DEU,Spring
2018-03-07,FRA,Spring
2018-03-07,KOR,Spring
2018-03-07,JPN,Spring
2018-03-07,GBR,Spring
2018-03-07,CAN,Spring
2018-03-07,AUS,Fall
2018-03-07,BRA,Fall
2018-03-07,ZAF,Fall
2018-03-08,USA,Spring
2018-03-08,DEU,Spring
2018-03-08,FRA,Spring
2018-03-08,KOR,Spring
2018-03-08,JPN,Spring
2018-03-08,GBR,Spring
2018-03-08,CAN,Spring
2018-03-08,AUS,Fall
2018-03-08,BRA,Fall
2018-03-08,ZAF,Fall
2018-03-09,USA,Spring
2018-03-09,DEU,Spring
2018-03-09,FRA,Spring
2018-03-09,KOR,Spring
2018-03-09,JPN,Spring
2018-03-09,GBR,Spring
2018-03-09,CAN,Spring
2018-03-09,AUS,Fall
2018-03-09,BRA,Fall
2018-03-09,ZAF,Fall
2018-03-10,USA,Spring
2018-03-10,DEU,Spring
2018-03-10,FRA,Spring
2018-03-10,KOR,Spring
2018-03-10,JPN,Spring
2018-03-10,GBR,Spring
2018-03-10,CAN,Spring
2018-03-10,AUS,Fall
2018-03-10,BRA,Fall
2018-03-10,ZAF,Fall
2018-03-11,USA,Spring
2018-03-11,DEU,Spring
2018-03-11,FRA,Spring
2018-03-11,KOR,Spring
2018-03-11,JPN,Spring
2018-03-11,GBR,Spring
2018-03-11,CAN,Spring
2018-03-11,AUS,Fall
2018-03-11,BRA,Fall
2018-03-11,ZAF,Fall
2018-03-12,USA,Spring
2018-03-12,DEU,Spring
2018-03-12,FRA,Spring
2018-03-12,KOR,Spring
2018-03-12,JPN,Spring
2018-03-12,GBR,Spring
2018-03-12,CAN,Spring
2018-03-12,AUS,Fall
2018-03-12,BRA,Fall
2018-03-12,ZAF,Fall
2018-03-13,USA,Spring
2018-03-13,DEU,Spring
2018-03-13,FRA,Spring
2018-03-13,KOR,Spring
2018-03-13,JPN,Spring
2018-03-13,GBR,Spring
2018-03-13,CAN,Spring
2018-03-13,AUS,Fall
2018-03-13,BRA,Fall
2018-03-13,ZAF,Fall
2018-03-14,USA,Spring
2018-03-14,DEU,Spring
2018-03-14,FRA,Spring
2018-03-14,KOR,Spring
2018-03-14,JPN,Spring
2018-03-14,GBR,Spring
2018-03-14,CAN,Spring
2018-03-14,AUS,Fall
2018-03-14,BRA,Fall
2018-03-14,ZAF,Fall
2018-03-15,USA,Spring
2018-03-15,DEU,Spring
2018-03-15,FRA,Spring
2018-03-15,KOR,Spring
2018-03-15,JPN,Spring
2018-03-15,GBR,Spring
2018-03-15,CAN,Spring
2018-03-15,AUS,Fall
2018-03-15,BRA,Fall
2018-03-15,ZAF,Fall
2018-03-16,USA,Spring
2018-03-16,DEU,Spring
2018-03-16,FRA,Spring
2018-03-16,KOR,Spring
2018-03-16,JPN,Spring
2018-03-16,GBR,Spring
2018-03-16,CAN,Spring
2018-03-16,AUS,Fall
2018-03-16,BRA,Fall
2018-03-16,ZAF,Fall
2018-03-17,USA,Spring
2018-03-17,DEU,Spring
2018-03-17,FRA,Spring
2018-03-17,KOR,Spring
2018-03-17,JPN,Spring
2018-03-17,GBR,Spring
2018-03-17,CAN,Spring
2018-03-17,AUS,Fall
2018-03-17,BRA,Fall
2018-03-17,ZAF,Fall
2018-03-18,USA,Spring
2018-03-18,DEU,Spring
2018-03-18,FRA,Spring
2018-03-18,KOR,Spring
2018-03-18,JPN,Spring
2018-03-18,GBR,Spring
2018-03-18,CAN,Spring
2018-03-18,AUS,Fall
2018-03-18,BRA,Fall
2018-03-18,ZAF,Fall
2018-03-19,USA,Spring
2018-03-19,DEU,Spring
2018-03-19,FRA,Spring
2018-03-19,KOR,Spring
2018-03-19,JPN,Spring
2018-03-19,GBR,Spring
2018-03-19,CAN,Spring
2018-03-19,AUS,Fall
2018-03-19,BRA,Fall
2018-03-19,ZAF,Fall
2018-03-20,USA,Spring
2018-03-20,DEU,Spring
2018-03-20,FRA,Spring
2018-03-20,KOR,Spring
2018-03-20,JPN,Spring
2018-03-20,GBR,Spring
2018-03-20,CAN,Spring
2018-03-20,AUS,Fall
2018-03-20,BRA,Fall
2018-03-20,ZAF,Fall
2018-03-21,USA,Spring
2018-03-21,DEU,Spring
2018-03-21,FRA,Spring
2018-03-21,KOR,Spring
2018-03-21,JPN,Spring
2018-03-21,GBR,Spring
2018-03-21,CAN,Spring
2018-03-21,AUS,Fall
2018-03-21,BRA,Fall
2018-03-21,ZAF,Fall
2018-03-22,USA,Spring
2018-03-22,DEU,Spring
2018-03-22,FRA,Spring
2018-03-22,KOR,Spring
2018-03-22,JPN,Spring
2018-03-22,GBR,Spring
2018-03-22,CAN,Spring
2018-03-22,AUS,Fall
2018-03-22,BRA,Fall
2018-03-22,ZAF,Fall
2018-03-23,USA,Spring
2018-03-23,DEU,Spring
2018-03-23,FRA,Spring
2018-03-23,KOR,Spring
2018-03-23,JPN,Spring
2018-03-23,GBR,Spring
2018-03-23,CAN,Spring
2018-03-23,AUS,Fall
2018-03-23,BRA,Fall
2018-03-23,ZAF,Fall
2018-03-24,USA,Spring
2018-03-24,DEU,Spring
2018-03-24,FRA,Spring
2018-03-24,KOR,Spring
2018-03-24,JPN,Spring
2018-03-24,GBR,Spring
2018-03-24,CAN,Spring
2018-03-24,AUS,Fall
2018-03-24,BRA,Fall
2018-03-24,ZAF,Fall
2018-03-25,USA,Spring
2018-03-25,DEU,Spring
2018-03-25,FRA,Spring
2018-03-25,KOR,Spring
2018-03-25,JPN,Spring
2018-03-25,GBR,Spring
2018-03-25,CAN,Spring
2018-03-25,AUS,Fall
2018-03-25,BRA,Fall
2018-03-25,ZAF,Fall
2018-03-26,USA,Spring
2018-03-26,DEU,Spring
2018-03-26,FRA,Spring
2018-03-26,KOR,Spring
2018-03-26,JPN,Spring
2018-03-26,GBR,Spring
2018-03-26,CAN,Spring
2018-03-26,AUS,Fall
2018-03-26,BRA,Fall
2018-03-26,ZAF,Fall
2018-03-27,USA,Spring
2018-03-27,DEU,Spring
2018-03-27,FRA,Spring
2018-03-27,KOR,Spring
2018-03-27,JPN,Spring
2018-03-27,GBR,Spring
2018-03-27,CAN,Spring
2018-03-27,AUS,Fall
2018-03-27,BRA,Fall
2018-03-27,ZAF,Fall
2018-03-28,USA,Spring
2018-03-28,DEU,Spring
2018-03-28,FRA,Spring
2018-03-28,KOR,Spring
2018-03-28,JPN,Spring
2018-03-28,GBR,Spring
2018-03-28,CAN,Spring
2018-03-28,AUS,Fall
2018-03-28,BRA,Fall
2018-03-28,ZAF,Fall
2018-03-29,USA,Spring
2018-03-29,DEU,Spring
2018-03-29,FRA,Spring
2018-03-29,KOR,Spring
2018-03-29,JPN,Spring
2018-03-29,GBR,Spring
2018-03-29,CAN,Spring
2018-03-29,AUS,Fall
2018-03-29,BRA,Fall
2018-03-29,ZAF,Fall
2018-03-30,USA,Spring
2018-03-30,DEU,Spring
2018-03-30,FRA,Spring
2018-03-30,KOR,Spring
2018-03-30,JPN,Spring
2018-03-30,GBR,Spring
2018-03-30,CAN,Spring
2018-03-30,AUS,Fall
2018-03-30,BRA,Fall
2018-03-30,ZAF,Fall
2018-03-31,USA,Spring
2018-03-31,DEU,Spring
2018-03-31,FRA,Spring
2018-03-31,KOR,Spring
2018-03-31,JPN,Spring
2018-03-31,GBR,Spring
2018-03-31,CAN,Spring
2018-03-31,AUS,Fall
2018-03-31,BRA,Fall
2018-03-31,ZAF,Fall
2018-04-01,USA,Spring
2018-04-01,DEU,Spring
2018-04-01,FRA,Spring
2018-04-01,KOR,Spring
2018-04-01,JPN,Spring
2018-04-01,GBR,Spring
2018-04-01,CAN,Spring
2018-04-01,AUS,Fall
2018-04-01,BRA,Fall
2018-04-01,ZAF,Fall
2018-04-02,USA,Spring
2018-04-02,DEU,Spring
2018-04-02,FRA,Spring
2018-04-02,KOR,Spring
2018-04-02,JPN,Spring
2018-04-02,GBR,Spring
2018-04-02,CAN,Spring
2018-04-02,AUS,Fall
2018-04-02,BRA,Fall
2018-04-02,ZAF,Fall
2018-04-03,USA,Spring
2018-04-03,DEU,Spring
2018-04-03,FRA,Spring
2018-04-03,KOR,Spring
2018-04-03,JPN,Spring
2018-04-03,GBR,Spring
2018-04-03,CAN,Spring
2018-04-03,AUS,Fall
2018-04-03,BRA,Fall
2018-04-03,ZAF,Fall
2018-04-04,USA,Spring
2018-04-04,DEU,Spring
